\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00049 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|   GLAT|       RA|     DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|  double| double|   double|  double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |     deg|    deg|      deg|     deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|    null|   null|     null|    null|   null|   null|
 126348        1    0.00011  0.319    0.021   0.00003     2  0.339    0.000  -23433.90  0.047  0.026   26.2      1 28.39627 0.07729 280.71896 -4.00047       0       1 
 126348        2    0.00009  0.366    0.021   0.00001     2  0.703    0.000 -144029.71  0.052  0.033   17.5      1 28.39651 0.07854 280.71795 -3.99968       0       1 
 126348        3    0.00005  0.161    0.011   0.00001     1  0.848    0.000  -61820.22  0.051  0.027   10.1      1 28.39654 0.07892 280.71762 -3.99948       0       1 
 126348        4    0.00005  0.148    0.011  -0.00001     2  0.917    0.000 -136221.06  0.050  0.024   20.7      1 28.39659 0.07954 280.71710 -3.99915       0       1 
 126348        5    0.00005  0.271    0.013   0.00004     2  0.515    0.000  -24074.33  0.058  0.038   -4.1      1 28.39704 0.07898 280.71780 -3.99901       0       1 
 126348        6    0.00009  0.267    0.018   0.00003     2  0.331    0.000  -24038.73  0.042  0.029   12.5      1 28.39690 0.07936 280.71740 -3.99896       0       1 
 126348        7    0.00006  0.221    0.013   0.00001     1  0.720    0.000  -52700.94  0.051  0.031    5.6      1 28.39768 0.07826 280.71874 -3.99877       0       1 
 126348        8    0.00024  1.214    0.059  -0.00006     1  0.071    0.000  -19804.49  0.051  0.039   23.0      1 28.39811 0.07767 280.71946 -3.99866       0       1 
 126348        9    0.00011  0.370    0.022  -0.00002     2  0.223    0.000  -24035.12  0.045  0.032   16.6      1 28.39786 0.07826 280.71882 -3.99861       0       1 
 126348       10    0.00005  0.169    0.010   0.00002     2  0.607    0.000  -29049.29  0.053  0.029   -9.5      1 28.39726 0.07968 280.71728 -3.99849       0       1 
 126348       11    0.00007  0.230    0.015   0.00003     2  0.458    0.000  -29017.34  0.044  0.031   17.2      1 28.39821 0.07789 280.71931 -3.99847       0       1 
 126348       12    0.00004  0.148    0.009   0.00006     2  0.907    0.000  -23079.24  0.058  0.029  -31.2      1 28.39720 0.07986 280.71709 -3.99846       0       1 
 126348       13    0.00022  0.890    0.048   0.00002     2  0.080    0.000  -23150.32  0.048  0.034   18.2      1 28.39740 0.07948 280.71752 -3.99846       0       1 
 126348       14    0.00005  0.198    0.012  -0.00001     2  0.991    0.001  -70800.55  0.058  0.028   -1.8      1 28.39737 0.07966 280.71735 -3.99841       0       1 
 126348       15    0.00004  0.263    0.013   0.00005     2  0.607    0.000  -27419.73  0.058  0.048    7.9      1 28.39729 0.07985 280.71714 -3.99839       0       1 
 126348       16    0.00004  0.157    0.011   0.00003     2  0.700    0.000  -26623.70  0.057  0.035    5.4      1 28.39751 0.08003 280.71708 -3.99811       0       1 
 126348       17    0.00008  0.349    0.021  -0.00000     2  0.390    0.000  -23797.04  0.049  0.044   34.0      1 28.39774 0.08045 280.71681 -3.99772       0       1 
 126348       18    0.00018  0.819    0.042  -0.00002     2  0.127    0.000  -22796.79  0.058  0.032   24.2      1 28.39844 0.07915 280.71829 -3.99769       0       1 
 126348       19    0.00025  1.357    0.065  -0.00001     2  0.038    0.000  -22247.59  0.053  0.041   25.6      1 28.39687 0.08220 280.71485 -3.99769       0       1 
 126348       20    0.00007  0.271    0.016   0.00004     2  0.729    0.000  -49235.05  0.046  0.033   -2.2      1 28.39806 0.08004 280.71732 -3.99761       0       1 
 126348       21    0.00005  0.145    0.009   0.00005     2  0.762    0.000  -28778.74  0.023  0.058  -54.0      1 28.39840 0.07954 280.71793 -3.99754       0       1 
 126348       22    0.00010  0.287    0.020   0.00002     2  0.354    0.000  -23772.00  0.045  0.028   15.5      1 28.39821 0.08000 280.71743 -3.99750       0       1 
 126348       23    0.00004  0.168    0.010   0.00005     2  0.628    0.000  -26893.92  0.058  0.028  -26.8      1 28.39797 0.08076 280.71664 -3.99737       0       1 
 126348       24    0.00006  0.230    0.014  -0.00000     1  0.858    0.000 -144122.46  0.049  0.036    2.6      1 28.39909 0.08060 280.71730 -3.99645       0       1 
 126348       25    0.00040  2.558    0.108  -0.00002     2  0.018    0.000  -20155.79  0.057  0.044   20.7      1 28.39883 0.08132 280.71653 -3.99635       0       1 
 126348       26    0.00006  0.220    0.013   0.00002     2  0.421    0.000  -26590.71  0.042  0.034    9.3      1 28.40113 0.07958 280.71914 -3.99510       0       1 
 126348       27    0.00007  0.313    0.017  -0.00001     2  0.293    0.000  -24215.06  0.055  0.031   -4.3      1 28.40112 0.07968 280.71905 -3.99506       0       1 
 126348       28    0.00007  0.240    0.015   0.00001     2  0.419    0.000  -24321.30  0.049  0.030   18.8      1 28.40110 0.08018 280.71859 -3.99485       0       1 
 126348       29    0.00016  1.491    0.055   0.00000     2  0.077    0.000  -49706.35  0.058  0.058  -90.0      1 28.39650 0.07889 280.71763 -3.99953       1       2 
 126348       30    0.00018  1.464    0.051   0.00000     2  0.077    0.000  -49706.35  0.058  0.054   22.1      1 28.39651 0.07891 280.71762 -3.99952       1       2 
 126348       31    0.00006  0.237    0.015   0.00000     2  0.037    0.000  -88251.13  0.052  0.034  -17.3      1 28.39715 0.07985 280.71708 -3.99851       1       4 
 126348       32    0.00005  0.350    0.016   0.00000     2  0.037    0.000  -88251.13  0.058  0.058  -71.4      1 28.39716 0.07984 280.71709 -3.99851       1       4 
 126348       33    0.00003  0.106    0.007   0.00000     2  0.037    0.000  -88251.13  0.023  0.058  -57.7      1 28.39718 0.07983 280.71711 -3.99850       1       4 
 126348       34    0.00069  3.887    0.177   0.00000     2  0.037    0.000  -88251.13  0.054  0.041   12.0      1 28.39717 0.07986 280.71708 -3.99850       1       4 
 126348       35    0.00016  0.980    0.043   0.00000     2  0.022    0.000  -71290.37  0.058  0.045   34.1      1 28.39730 0.07965 280.71732 -3.99847       1       3 
 126348       36    0.00008  0.449    0.026   0.00000     2  0.022    0.000  -71290.37  0.041  0.058  -74.9      1 28.39732 0.07964 280.71734 -3.99846       1       3 
 126348       37    0.00103  4.395    0.229   0.00000     2  0.022    0.000  -71290.37  0.049  0.034   17.3      1 28.39732 0.07966 280.71732 -3.99844       1       3 
 126348       38    0.00005  0.457    0.016   0.00000     1  0.155    0.000 -327130.97  0.058  0.058   90.0      1 28.39731 0.07970 280.71728 -3.99844       1      17 
 126348       39    0.00004  0.359    0.019   0.00000     1  0.155    0.000 -327130.97  0.058  0.058  -89.8      1 28.39733 0.07970 280.71729 -3.99843       1      17 
 126348       40    0.00007  0.884    0.025   0.00000     1  0.155    0.000 -327130.97  0.058  0.058   90.0      1 28.39731 0.07972 280.71726 -3.99843       1      17 
 126348       41    0.00011  0.851    0.036   0.00000     1  0.155    0.000 -327130.97  0.040  0.058  -90.0      1 28.39732 0.07974 280.71725 -3.99842       1      17 
 126348       42    0.00006  0.740    0.023   0.00000     1  0.155    0.000 -327130.97  0.058  0.058   56.3      1 28.39735 0.07971 280.71729 -3.99840       1      17 
 126348       43    0.00007  0.785    0.028   0.00000     1  0.155    0.000 -327130.97  0.037  0.058   78.8      1 28.39731 0.07978 280.71721 -3.99840       1      17 
 126348       44    0.00025  3.292    0.092   0.00000     1  0.155    0.000 -327130.97  0.058  0.058   53.7      1 28.39733 0.07975 280.71724 -3.99840       1      17 
 126348       45    0.00006  0.600    0.023   0.00000     1  0.155    0.000 -327130.97  0.055  0.055  -42.7      1 28.39731 0.07980 280.71720 -3.99839       1      17 
 126348       46    0.00005  0.739    0.024   0.00000     1  0.155    0.000 -327130.97  0.058  0.058  -88.3      1 28.39736 0.07973 280.71728 -3.99838       1      17 
 126348       47    0.00106  7.684    0.304   0.00000     1  0.155    0.000 -327130.97  0.058  0.048   15.3      1 28.39734 0.07977 280.71723 -3.99838       1      17 
 126348       48    0.00004  0.125    0.008   0.00000     1  0.155    0.000 -327130.97  0.033  0.030   63.2      1 28.39733 0.07980 280.71721 -3.99838       1      17 
 126348       49    0.00010  1.677    0.050   0.00000     1  0.155    0.000 -327130.97  0.058  0.058  -87.9      1 28.39736 0.07976 280.71725 -3.99837       1      17 
 126348       50    0.00010  0.942    0.033   0.00000     1  0.155    0.000 -327130.97  0.058  0.058  -32.4      1 28.39737 0.07974 280.71727 -3.99837       1      17 
 126348       51    0.00006  0.635    0.019   0.00000     1  0.155    0.000 -327130.97  0.058  0.058  -90.0      1 28.39739 0.07974 280.71728 -3.99835       1      17 
 126348       52    0.00006  0.534    0.022   0.00000     1  0.155    0.000 -327130.97  0.058  0.058  -89.2      1 28.39737 0.07978 280.71724 -3.99835       1      17 
 126348       53    0.00006  0.478    0.022   0.00000     1  0.155    0.000 -327130.97  0.058  0.058  -21.8      1 28.39736 0.07980 280.71722 -3.99835       1      17 
 126348       54    0.00008  0.912    0.026   0.00000     1  0.155    0.000 -327130.97  0.058  0.058  -89.8      1 28.39738 0.07976 280.71726 -3.99835       1      17 
 126348       55    0.00015  0.843    0.070   0.00000     2  0.305    0.003  -21156.38  0.030  0.058   48.2      1 28.39705 0.08033 280.71660 -3.99839       1       2 
 126348       56    0.00125 16.898    0.466   0.00000     2  0.305    0.003  -21156.38  0.058  0.058   90.0      1 28.39706 0.08034 280.71660 -3.99837       1       2 
 126348       57    0.00009  1.060    0.031   0.00000     2  0.440    0.000  -88735.27  0.058  0.058  -90.0      1 28.39721 0.08031 280.71670 -3.99825       1       3 
 126348       58    0.00006  0.393    0.019   0.00000     2  0.440    0.000  -88735.27  0.052  0.058  -71.3      1 28.39722 0.08033 280.71668 -3.99823       1       3 
 126348       59    0.00004  0.448    0.014   0.00000     2  0.440    0.000  -88735.27  0.058  0.058   87.8      1 28.39724 0.08032 280.71670 -3.99823       1       3 
 126348       60    0.00005  0.547    0.017   0.00000     2  0.777    0.000 -118124.73  0.058  0.058  -90.0      1 28.39742 0.07999 280.71708 -3.99821       1       4 
 126348       61    0.00007  0.801    0.023   0.00000     2  0.777    0.000 -118124.73  0.058  0.058  -90.0      1 28.39741 0.08002 280.71705 -3.99820       1       4 
 126348       62    0.00006  0.625    0.025   0.00000     2  0.777    0.000 -118124.73  0.058  0.053   90.0      1 28.39741 0.08004 280.71703 -3.99820       1       4 
 126348       63    0.00009  1.089    0.035   0.00000     2  0.777    0.000 -118124.73  0.058  0.058   90.0      1 28.39740 0.08005 280.71701 -3.99820       1       4 
 126348       64    0.00003  0.075    0.008   0.00000     2  0.238    0.000  -53256.23  0.058  0.027  -39.0      1 28.39737 0.08009 280.71696 -3.99820       1       2 
