\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00050 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|   GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double| double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|    deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|   null|     null|     null|   null|   null|
 778802        1    0.00006  0.223    0.012  -0.00000     2  0.458    0.000  -22534.86  0.046  0.038    9.9      1 326.64113 0.60933 236.14136 -54.09359       0       1 
 778802        2    0.00014    nan    0.040   0.00001     2  0.492    0.000  -24318.26  0.044  0.056  -23.3      1 326.64081 0.61160 236.13857 -54.09199       0       1 
 778802        3    0.00019  1.159    0.050  -0.00003     2  0.185    0.000  -15572.83  0.056  0.036  -42.5      1 326.64037 0.61223 236.13731 -54.09175       0       1 
 778802        4    0.00008  0.357    0.020  -0.00001     2  0.299    0.000  -21564.48  0.056  0.037  -36.3      1 326.64149 0.61153 236.13957 -54.09163       0       1 
 778802        5    0.00003  0.174    0.008   0.00009     2  0.851    0.000  -23279.95  0.038  0.056  -53.2      1 326.64050 0.61239 236.13733 -54.09155       0       1 
 778802        6    0.00041  5.314    0.158   0.00032     2  0.245    0.001  -10513.20  0.056  0.056  -90.0      1 326.64067 0.61236 236.13760 -54.09147       0       1 
 778802        7    0.00009  0.307    0.021   0.00002     2  0.580    0.000  -22514.47  0.037  0.056  -15.3      1 326.64066 0.61242 236.13752 -54.09143       0       1 
 778802        8    0.00012  0.435    0.024   0.00002     2  0.173    0.000  -21990.59  0.048  0.035  -37.5      1 326.64024 0.61275 236.13661 -54.09142       0       1 
 778802        9    0.00003  0.171    0.011   0.00009     2  0.825    0.000  -22296.84  0.056  0.056   90.0      1 326.64056 0.61254 236.13725 -54.09140       0       1 
 778802       10    0.00001    nan    0.008  -0.00004     2  0.998    0.000  -73316.74  0.056  0.032  -11.8      1 326.64085 0.61266 236.13751 -54.09112       0       1 
