\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00053 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 881427        1    0.00007  0.256    0.015   0.00004     1  0.344    0.000  -22141.00  0.048  0.034   20.8      1 348.72661 -1.04452 260.03466 -38.95700       0       1 
 881427        2    0.00004  0.325    0.013   0.00021     2  0.717    0.000  -23792.99  0.057  0.051   15.5      1 348.72463 -1.03724 260.02552 -38.95446       0       1 
 881427        3    0.00003  0.105    0.007   0.00002     2  0.914    0.000  -23294.18  0.057  0.024  -23.6      1 348.72460 -1.03718 260.02544 -38.95445       0       1 
 881427        4    0.00002  0.058    0.004   0.00002     2  0.959    0.000  -20609.24  0.057  0.022  -18.5      1 348.72470 -1.03724 260.02558 -38.95440       0       1 
 881427        5    0.00002  0.030    0.007  -0.00003     2  1.014    0.000  -20199.07  0.027  0.057  -33.9      1 348.72457 -1.03705 260.02528 -38.95440       0       1 
 881427        6    0.00003  0.038    0.004  -0.00001     2  0.946    0.000  -20905.20  0.027  0.020    3.4      1 348.72466 -1.03711 260.02540 -38.95436       0       1 
 881427        7    0.00008  0.788    0.028   0.00023     2  0.353    0.000  -20393.72  0.057  0.057  -90.0      1 348.72479 -1.03725 260.02565 -38.95433       0       1 
 881427        8    0.00004  0.145    0.010  -0.00013     0  0.998    0.000  -60404.55  0.057  0.027  -39.8      1 348.72469 -1.03710 260.02541 -38.95433       0       1 
 881427        9    0.00004  0.317    0.017   0.00004     1  0.972    0.000  -37273.17  0.057  0.057  -17.8      1 348.72476 -1.03719 260.02557 -38.95432       0       1 
 881427       10    0.00003  0.388    0.015   0.00014     2  0.614    0.000  -24373.68  0.057  0.057   90.0      1 348.72482 -1.03726 260.02569 -38.95432       0       1 
 881427       11    0.00004  0.170    0.013   0.00001     2  0.902    0.000  -57455.84  0.034  0.057  -55.0      1 348.72469 -1.03695 260.02526 -38.95425       0       1 
 881427       12    0.00003  0.142    0.007   0.00009     1  0.904    0.000  -25433.76  0.057  0.039  -74.0      1 348.72518 -1.03762 260.02633 -38.95422       0       1 
 881427       13    0.00010  0.748    0.033   0.00010     2  0.687    0.000  -24453.32  0.057  0.057  -90.0      1 348.72514 -1.03747 260.02614 -38.95417       0       1 
 881427       14    0.00042  3.196    0.131   0.00068     2  0.287    0.000  -16062.17  0.057  0.051   57.9      1 348.72523 -1.03749 260.02622 -38.95411       0       1 
 881427       15    0.00033  2.935    0.139  -0.00000     2  0.446    0.000  -14484.87  0.057  0.057  -90.0      1 348.72526 -1.03752 260.02628 -38.95410       0       1 
 881427       16    0.00003  0.282    0.011   0.00035     2  0.818    0.000  -27455.43  0.057  0.057  -89.9      1 348.72517 -1.03736 260.02604 -38.95408       0       1 
 881427       17    0.00012  0.448    0.026  -0.00003     2  0.355    0.000  -51605.74  0.048  0.032   16.2      1 348.72673 -1.03955 260.02950 -38.95406       0       1 
 881427       18    0.00001  0.011    0.002   0.00007     2  0.993    0.000  -19710.64  0.018  0.018   89.7      1 348.72526 -1.03739 260.02614 -38.95403       0       1 
 881427       19    0.00003  0.080    0.006   0.00004     2  0.845    0.000  -23566.89  0.036  0.027   44.4      1 348.72540 -1.03747 260.02633 -38.95396       0       1 
 881427       20    0.00011  1.006    0.035   0.00003     1  0.604    0.000 -122325.01  0.057  0.057  -90.0      1 348.72529 -1.03731 260.02609 -38.95396       0       1 
 881427       21    0.00004  0.117    0.008  -0.00007     2  0.928    0.000  -49151.35  0.041  0.031   17.2      1 348.72554 -1.03763 260.02660 -38.95394       0       1 
 881427       22    0.00003  0.092    0.009   0.00010     2  0.894    0.000  -21168.49  0.057  0.026   54.3      1 348.72588 -1.03788 260.02711 -38.95380       0       1 
 881427       23    0.00002  0.192    0.009   0.00008     2  0.927    0.000  -28841.62  0.057  0.057  -89.7      1 348.72775 -1.04014 260.03088 -38.95356       0       1 
 881427       24    0.00002  0.013    0.002   0.00004     2  0.991    0.000  -20711.30  0.018  0.021   79.1      1 348.72634 -1.03810 260.02768 -38.95355       0       1 
 881427       25    0.00012  0.439    0.026   0.00001     2  0.651    0.000 -126260.33  0.044  0.036  -10.0      1 348.72774 -1.04005 260.03077 -38.95351       0       1 
 881427       26    0.00029  1.885    0.082  -0.00004     2  0.051    0.000  -19081.51  0.057  0.048    2.6      1 348.72578 -1.03699 260.02611 -38.95337       0       1 
 881427       27    0.00004  0.153    0.009   0.00003     2  0.768    0.000  -23680.69  0.032  0.057    5.9      1 348.72603 -1.03728 260.02660 -38.95334       0       1 
