\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00059 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|  double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |     deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|    null|    null|     null|     null|   null|   null|
  89378        1    0.00026  1.256    0.062  -0.00003     2  0.101    0.000  -26138.39  0.059  0.032   31.2      1 19.88320 -0.53439 277.31006 -11.84034       0       1 
  89378        2    0.00009  0.470    0.021  -0.00001     2  0.377    0.000  -23020.13  0.059  0.029   35.5      1 19.88432 -0.53597 277.31202 -11.84008       0       1 
  89378        3    0.00004  0.047    0.006  -0.00010     2  0.945    0.000  -22143.76  0.043  0.019   22.5      1 19.88417 -0.53561 277.31162 -11.84005       0       1 
  89378        4    0.00003  0.047    0.007  -0.00071     1  0.995    0.000  -17849.55  0.033  0.019   13.9      1 19.88363 -0.53449 277.31035 -11.84001       0       1 
  89378        5    0.00004  0.189    0.012   0.00003     2  0.816    0.000  -25418.09  0.059  0.031   35.7      1 19.88380 -0.53478 277.31070 -11.83999       0       1 
  89378        6    0.00004  0.131    0.011   0.00001     2  0.891    0.000  -23334.70  0.059  0.031  -27.3      1 19.88357 -0.53434 277.31019 -11.83999       0       1 
  89378        7    0.00131 12.091    0.433  -0.00014     2  0.024    0.007   -8230.35  0.052  0.059  -47.6      1 19.88361 -0.53425 277.31013 -11.83992       0       1 
  89378        8    0.00033  1.323    0.071  -0.00000     2  0.047    0.000  -19745.40  0.059  0.026   27.6      1 19.88411 -0.53516 277.31119 -11.83989       0       1 
  89378        9    0.00016  1.065    0.046   0.00008     2  0.239    0.000  -17262.68  0.059  0.036   17.1      1 19.88363 -0.53420 277.31009 -11.83988       0       1 
  89378       10    0.00009  0.424    0.022   0.00006     2  0.442    0.000  -21579.31  0.059  0.025   29.8      1 19.88391 -0.53438 277.31039 -11.83971       0       1 
  89378       11    0.00007  0.256    0.016   0.00003     2  0.588    0.000  -22799.03  0.059  0.028   24.1      1 19.88447 -0.53530 277.31149 -11.83964       0       1 
  89378       12    0.00010  0.255    0.018   0.00004     2  0.646    0.000  -21484.40  0.051  0.020   26.4      1 19.88314 -0.53271 277.30851 -11.83961       0       1 
  89378       13    0.00017  0.964    0.045   0.00013     2  0.518    0.000  -21116.85  0.059  0.034   20.3      1 19.88379 -0.53382 277.30983 -11.83956       0       1 
  89378       14    0.00033  1.346    0.072   0.00003     2  0.057    0.000  -27782.23  0.059  0.026   28.7      1 19.88411 -0.53429 277.31041 -11.83949       0       1 
  89378       15    0.00016  0.788    0.038   0.00001     2  0.126    0.000  -23035.08  0.059  0.032   26.7      1 19.88420 -0.53384 277.31004 -11.83920       0       1 
  89378       16    0.00008  0.260    0.016   0.00004     2  0.509    0.000  -23679.48  0.058  0.025   32.2      1 19.88480 -0.53490 277.31128 -11.83916       0       1 
  89378       17    0.00060  4.318    0.165  -0.00007     2  0.063    0.000  -42544.91  0.059  0.040   32.9      1 19.88433 -0.53347 277.30976 -11.83891       0       1 
  89378       18    0.00006  0.199    0.012   0.00000     2  0.525    0.000  -26189.88  0.059  0.023   29.6      1 19.88556 -0.53121 277.30830 -11.83677       0       1 
  89378       19    0.00004  0.240    0.010   0.00000     2  0.804    0.000  -52357.86  0.036  0.059  -54.2      1 19.88317 -0.53463 277.31026 -11.84048       1       2 
  89378       20    0.00004  0.179    0.010   0.00000     2  0.804    0.000  -52357.86  0.059  0.030   21.6      1 19.88318 -0.53464 277.31028 -11.84048       1       2 
  89378       21    0.00010  1.058    0.035   0.00000     2  0.137    0.000 -140357.79  0.059  0.059   90.0      1 19.88391 -0.53584 277.31171 -11.84039       1       6 
  89378       22    0.00005  0.246    0.012   0.00000     2  0.137    0.000 -140357.79  0.026  0.059  -68.9      1 19.88391 -0.53582 277.31169 -11.84038       1       6 
  89378       23    0.00010  1.626    0.047   0.00000     2  0.137    0.000 -140357.79  0.059  0.059  -89.7      1 19.88393 -0.53582 277.31170 -11.84037       1       6 
  89378       24    0.00058  7.140    0.211   0.00000     2  0.137    0.000 -140357.79  0.059  0.059   90.0      1 19.88395 -0.53582 277.31171 -11.84034       1       6 
  89378       25    0.00007  0.905    0.038   0.00000     2  0.137    0.000 -140357.79  0.059  0.059  -89.6      1 19.88395 -0.53580 277.31169 -11.84033       1       6 
  89378       26    0.00014  2.440    0.056   0.00000     2  0.137    0.000 -140357.79  0.059  0.059  -89.7      1 19.88398 -0.53583 277.31173 -11.84032       1       6 
  89378       27    0.00005  0.234    0.013   0.00000     2  0.736    0.000  -65278.78  0.030  0.059   65.8      1 19.88333 -0.53435 277.31009 -11.84021       1       3 
