\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00050 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|      BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|   GLAT|       RA|     DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|   double|double|double|double|  long|  double| double|   double|  double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |         |arcsec|arcsec|   deg|      |     deg|    deg|      deg|     deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|     null|  null|  null|  null|  null|    null|   null|     null|    null|   null|   null|
  97293        1    0.00034  1.056    0.061  -0.00003     2  0.042    0.000 -19404.18  0.053  0.026   28.8      1 22.03751 0.22233 277.64400 -9.58071       0       1 
  97293        2    0.00011  0.316    0.021  -0.00002     2  0.449    0.000 -39094.31  0.050  0.027   32.9      1 22.03833 0.22180 277.64486 -9.58023       0       1 
  97293        3    0.00005  0.246    0.012   0.00011     2  0.607    0.000 -24233.26  0.056  0.037    6.1      1 22.03829 0.22252 277.64420 -9.57994       0       1 
  97293        4    0.00006  0.285    0.015   0.00002     1  0.838    0.000 -71632.68  0.056  0.039   31.5      1 22.03839 0.22242 277.64434 -9.57989       0       1 
  97293        5    0.00004  0.113    0.008   0.00000     2  0.847    0.000 -23063.82  0.024  0.056  -61.2      1 22.03831 0.22256 277.64417 -9.57989       0       1 
  97293        6    0.00003  0.109    0.009   0.00002     2  0.999    0.007 -14123.67  0.055  0.031   -4.4      1 22.03862 0.22235 277.64450 -9.57972       0       1 
  97293        7    0.00002  0.041    0.005   0.00003     2  0.985    0.000 -22135.67  0.055  0.018   19.0      1 22.03872 0.22224 277.64466 -9.57969       0       1 
  97293        8    0.00014  0.434    0.026   0.00000     2  0.183    0.000 -21665.27  0.051  0.028   18.6      1 22.03871 0.22251 277.64441 -9.57957       0       1 
  97293        9    0.00008  0.204    0.014   0.00001     0  0.630    0.000 -45471.84  0.046  0.024   22.9      1 22.03918 0.22398 277.64331 -9.57847       0       1 
  97293       10    0.00005  0.202    0.014   0.00001     2  0.527    0.000 -22216.13  0.054  0.041   -4.0      1 22.03921 0.22476 277.64262 -9.57808       0       1 
