\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00104 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|            MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|              char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|  double|  double|   double|   double|   long|   long|
|                  |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |     deg|     deg|      deg|      deg|       |       |
|              null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|    null|    null|     null|     null|   null|   null|
 G010.3208-00.1570B        1    0.00017  0.285    0.021  -0.00003     2  0.549    0.000  -12270.29  0.040  0.032   -9.2      1 10.32006 -0.16233 272.25715 -20.08897       0       1 
 G010.3208-00.1570B        2    0.00032  0.300    0.027   0.00001     2  0.403    0.000  -11844.58  0.030  0.021  -30.4      1 10.32115 -0.16063 272.25612 -20.08719       0       1 
 G010.3208-00.1570B        3    0.00033  0.522    0.035   0.00005     2  0.247    0.000  -12296.63  0.042  0.026   -8.9      1 10.32124 -0.16027 272.25583 -20.08694       0       1 
 G010.3208-00.1570B        4    0.00020  0.472    0.037   0.00009     0  0.691    0.000  -22421.50  0.041  0.046   55.0      1 10.32299 -0.16274 272.25903 -20.08661       0       1 
 G010.3208-00.1570B        5    0.00026  0.522    0.033  -0.00002     2  0.275    0.000  -12474.71  0.046  0.032  -21.5      1 10.32166 -0.16028 272.25606 -20.08658       0       1 
 G010.3208-00.1570B        6    0.00028  0.590    0.038   0.00003     2  0.197    0.000  -12112.21  0.046  0.032   21.5      1 10.32194 -0.15930 272.25529 -20.08586       0       1 
 G010.3208-00.1570B        7    0.00012  0.176    0.016   0.00004     2  0.674    0.000  -12352.21  0.026  0.046   32.6      1 10.32473 -0.16330 272.26046 -20.08535       0       1 
 G010.3208-00.1570B        8    0.00020  0.304    0.029   0.00005     2  0.591    0.000  -12177.08  0.046  0.037  -20.6      1 10.32411 -0.15997 272.25704 -20.08429       0       1 
 G010.3208-00.1570B        9    0.00017  0.423    0.025   0.00000     2  0.060    0.000  -48910.28  0.046  0.036   90.0      1 10.32142 -0.16012 272.25579 -20.08671       1       4 
