\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00068 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|            MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|   GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|              char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|  double| double|   double|   double|   long|   long|
|                  |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |     deg|    deg|      deg|      deg|       |       |
|              null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|    null|   null|     null|     null|   null|   null|
 G012.8909+00.4938C        1    0.00005  0.780    0.022   0.00018     1  0.637    0.000  -41157.30  0.060  0.060   90.0      1 12.88853 0.48897 272.96431 -17.52517       0       1 
 G012.8909+00.4938C        2    0.00004  0.263    0.015  -0.00006     2  0.946    0.000  -79374.20  0.060  0.042  -15.4      1 12.88855 0.48894 272.96435 -17.52516       0       1 
 G012.8909+00.4938C        3    0.00006  0.409    0.021   0.00004     2  0.699    0.000  -27613.61  0.052  0.060   64.6      1 12.88915 0.48843 272.96512 -17.52488       0       1 
 G012.8909+00.4938C        4    0.00007  0.431    0.022   0.00005     1  0.573    0.000  -35673.07  0.042  0.060  -90.0      1 12.88726 0.49206 272.96083 -17.52480       0       1 
 G012.8909+00.4938C        5    0.00010  0.971    0.059   0.00063     2  0.984    0.003  -10453.04  0.060  0.060  -90.0      1 12.88895 0.48917 272.96434 -17.52470       0       1 
 G012.8909+00.4938C        6    0.00256 25.198    0.889  -0.00002     2  0.147    0.006   -9592.17  0.060  0.046    5.3      1 12.88900 0.48914 272.96440 -17.52467       0       1 
 G012.8909+00.4938C        7    0.00006  0.292    0.017   0.00018     2  0.962    0.000  -15990.28  0.060  0.035    7.5      1 12.88899 0.48921 272.96433 -17.52465       0       1 
 G012.8909+00.4938C        8    0.00029  3.378    0.135   0.00166     2  0.707    0.000  -18107.67  0.060  0.060   90.0      1 12.88904 0.48915 272.96441 -17.52463       0       1 
 G012.8909+00.4938C        9    0.00006  0.447    0.019   0.00013     2  0.785    0.000  -22583.18  0.060  0.035   -1.8      1 12.88914 0.48899 272.96461 -17.52462       0       1 
