\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00054 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|           MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|             char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|                 |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|             null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 G305.1940-00.0051        1    0.00006  0.189    0.015   0.00003     2  0.668    0.000  -25768.66  0.037  0.053  -11.9      1 305.19403 -0.00758 197.81189 -62.79229       0       1 
 G305.1940-00.0051        2    0.00008  0.209    0.013   0.00003     2  0.538    0.000  -19602.50  0.032  0.053  -45.9      1 305.19357 -0.00721 197.81083 -62.79195       0       1 
 G305.1940-00.0051        3    0.00018  0.481    0.031   0.00000     2  0.211    0.000  -18456.67  0.032  0.043   -9.1      1 305.19372 -0.00709 197.81115 -62.79183       0       1 
 G305.1940-00.0051        4    0.00008  0.212    0.015  -0.00001     2  0.849    0.000 -120618.38  0.029  0.053   11.9      1 305.19393 -0.00696 197.81159 -62.79168       0       1 
 G305.1940-00.0051        5    0.00006  0.236    0.017   0.00002     2  0.752    0.000  -45702.09  0.053  0.051  -44.9      1 305.19076 -0.00665 197.80462 -62.79161       0       1 
 G305.1940-00.0051        6    0.00017  0.413    0.028   0.00000     2  0.338    0.000  -35479.03  0.029  0.041  -33.8      1 305.19338 -0.00671 197.81034 -62.79147       0       1 
 G305.1940-00.0051        7    0.00014  0.348    0.024   0.00001     2  0.266    0.000  -18861.86  0.028  0.044  -25.4      1 305.19347 -0.00668 197.81052 -62.79143       0       1 
 G305.1940-00.0051        8    0.00008  0.348    0.018   0.00006     2  0.495    0.000  -18661.37  0.033  0.053   33.1      1 305.19323 -0.00631 197.80995 -62.79109       0       1 
 G305.1940-00.0051        9    0.00006  0.104    0.009   0.00001     2  0.824    0.000  -18502.56  0.018  0.053   -2.4      1 305.19302 -0.00568 197.80938 -62.79047       0       1 
 G305.1940-00.0051       10    0.00008  0.191    0.014   0.00005     2  0.597    0.000  -19174.57  0.028  0.047   -8.7      1 305.19323 -0.00553 197.80982 -62.79031       0       1 
 G305.1940-00.0051       11    0.00008  0.218    0.016   0.00001     0  0.758    0.000  -30417.32  0.053  0.044  -32.5      1 305.19180 -0.00534 197.80666 -62.79023       0       1 
 G305.1940-00.0051       12    0.00013  0.434    0.026   0.00001     2  0.256    0.000  -18614.59  0.049  0.036  -90.0      1 305.19224 -0.00528 197.80761 -62.79013       0       1 
 G305.1940-00.0051       13    0.00009  0.466    0.020   0.00014     2  0.280    0.000  -19807.50  0.053  0.041   47.0      1 305.19208 -0.00396 197.80704 -62.78883       0       1 
 G305.1940-00.0051       14    0.00007  0.204    0.013   0.00000     1  0.868    0.000 -115501.80  0.027  0.053   12.3      1 305.19411 -0.00220 197.81116 -62.78692       0       1 
 G305.1940-00.0051       15    0.00006  0.160    0.012   0.00000     2  0.632    0.000  -39558.43  0.053  0.037   61.6      1 305.19411 -0.00887 197.81229 -62.79356       1       2 
 G305.1940-00.0051       16    0.00006  0.295    0.017   0.00000     2  0.632    0.000  -39558.43  0.053  0.050  -31.1      1 305.19411 -0.00885 197.81230 -62.79355       1       2 
 G305.1940-00.0051       17    0.00006  0.226    0.015   0.00000     1  0.122    0.000  -54843.68  0.053  0.053  -90.0      1 305.19406 -0.00781 197.81201 -62.79251       1       2 
 G305.1940-00.0051       18    0.00045  1.273    0.074   0.00000     1  0.122    0.000  -54843.68  0.032  0.042  -12.1      1 305.19405 -0.00779 197.81198 -62.79250       1       2 
 G305.1940-00.0051       19    0.00006  0.186    0.011   0.00000     2  0.512    0.000 -169881.86  0.030  0.049  -34.4      1 305.19317 -0.00617 197.80979 -62.79095       1       5 
 G305.1940-00.0051       20    0.00013  0.735    0.029   0.00000     2  0.512    0.000 -169881.86  0.053  0.046   55.5      1 305.19318 -0.00616 197.80980 -62.79093       1       5 
 G305.1940-00.0051       21    0.00006  0.256    0.013   0.00000     2  0.512    0.000 -169881.86  0.033  0.053   -1.9      1 305.19319 -0.00616 197.80983 -62.79093       1       5 
 G305.1940-00.0051       22    0.00008  0.621    0.022   0.00000     2  0.512    0.000 -169881.86  0.053  0.053   79.1      1 305.19316 -0.00613 197.80976 -62.79091       1       5 
 G305.1940-00.0051       23    0.00009  0.687    0.022   0.00000     2  0.512    0.000 -169881.86  0.053  0.053   70.8      1 305.19315 -0.00611 197.80974 -62.79089       1       5 
 G305.1940-00.0051       24    0.00008  0.316    0.017   0.00000     2  0.328    0.000  -81752.29  0.053  0.037  -81.6      1 305.19338 -0.00605 197.81023 -62.79081       1       2 
 G305.1940-00.0051       25    0.00023  0.708    0.039   0.00000     2  0.328    0.000  -81752.29  0.033  0.044  -14.2      1 305.19338 -0.00602 197.81021 -62.79079       1       2 
 G305.1940-00.0051       26    0.00029  1.061    0.056   0.00000     2  0.185    0.000  -30976.76  0.053  0.033  -73.2      1 305.19135 -0.00581 197.80577 -62.79073       1       2 
 G305.1940-00.0051       27    0.00004  0.238    0.017   0.00000     2  0.185    0.000  -30976.76  0.053  0.053  -90.0      1 305.19137 -0.00581 197.80580 -62.79073       1       2 
 G305.1940-00.0051       28    0.00007  0.240    0.014   0.00000     2  0.939    0.000 -138735.44  0.026  0.053   -0.2      1 305.19335 -0.00563 197.81009 -62.79039       1       2 
 G305.1940-00.0051       29    0.00007  0.246    0.014   0.00000     2  0.939    0.000 -138735.44  0.034  0.053  -11.1      1 305.19334 -0.00561 197.81008 -62.79037       1       2 
 G305.1940-00.0051       30    0.00005  0.158    0.014   0.00000     2  0.572    0.000  -81633.07  0.047  0.053   45.1      1 305.19344 -0.00553 197.81026 -62.79029       1       4 
 G305.1940-00.0051       31    0.00007  0.460    0.016   0.00000     2  0.572    0.000  -81633.07  0.053  0.053  -90.0      1 305.19346 -0.00553 197.81031 -62.79028       1       4 
 G305.1940-00.0051       32    0.00005  0.223    0.011   0.00000     2  0.572    0.000  -81633.07  0.033  0.053  -39.6      1 305.19347 -0.00552 197.81034 -62.79028       1       4 
 G305.1940-00.0051       33    0.00007  0.555    0.019   0.00000     2  0.572    0.000  -81633.07  0.053  0.053   13.3      1 305.19345 -0.00552 197.81029 -62.79027       1       4 
 G305.1940-00.0051       34    0.00006  0.142    0.010   0.00000     2  0.603    0.000  -35566.32  0.021  0.053   -1.1      1 305.19340 -0.00546 197.81018 -62.79022       1       2 
 G305.1940-00.0051       35    0.00008  0.227    0.014   0.00000     2  0.603    0.000  -35566.32  0.030  0.053  -44.4      1 305.19341 -0.00546 197.81020 -62.79022       1       2 
 G305.1940-00.0051       36    0.00007  0.357    0.021   0.00000     2  0.401    0.000  -59564.85  0.053  0.053   61.5      1 305.19326 -0.00540 197.80985 -62.79017       1       3 
 G305.1940-00.0051       37    0.00006  0.269    0.020   0.00000     2  0.401    0.000  -59564.85  0.053  0.030   15.6      1 305.19327 -0.00539 197.80987 -62.79016       1       3 
 G305.1940-00.0051       38    0.00030  2.142    0.077   0.00000     2  0.401    0.000  -59564.85  0.053  0.053   88.9      1 305.19328 -0.00538 197.80990 -62.79015       1       3 
 G305.1940-00.0051       39    0.00016  1.153    0.048   0.00000     2  0.032    0.000 -146864.40  0.053  0.047  -48.9      1 305.19313 -0.00532 197.80956 -62.79010       1       9 
 G305.1940-00.0051       40    0.00027  1.789    0.068   0.00000     2  0.032    0.000 -146864.40  0.053  0.053  -88.6      1 305.19316 -0.00532 197.80961 -62.79010       1       9 
 G305.1940-00.0051       41    0.00028  1.279    0.064   0.00000     2  0.032    0.000 -146864.40  0.053  0.043  -24.7      1 305.19312 -0.00531 197.80954 -62.79009       1       9 
 G305.1940-00.0051       42    0.00009  0.481    0.022   0.00000     2  0.032    0.000 -146864.40  0.053  0.042   -5.0      1 305.19317 -0.00531 197.80965 -62.79009       1       9 
 G305.1940-00.0051       43    0.00189  9.629    0.411   0.00000     2  0.032    0.000 -146864.40  0.044  0.053  -12.5      1 305.19314 -0.00530 197.80959 -62.79008       1       9 
 G305.1940-00.0051       44    0.00024  1.418    0.069   0.00000     2  0.032    0.000 -146864.40  0.052  0.053   90.0      1 305.19312 -0.00529 197.80954 -62.79008       1       9 
 G305.1940-00.0051       45    0.00015  0.998    0.039   0.00000     2  0.032    0.000 -146864.40  0.053  0.036   13.1      1 305.19316 -0.00529 197.80962 -62.79007       1       9 
 G305.1940-00.0051       46    0.00007  0.318    0.020   0.00000     2  0.032    0.000 -146864.40  0.053  0.053  -90.0      1 305.19318 -0.00528 197.80967 -62.79006       1       9 
 G305.1940-00.0051       47    0.00007  0.513    0.020   0.00000     2  0.032    0.000 -146864.40  0.053  0.052  -49.3      1 305.19317 -0.00527 197.80964 -62.79005       1       9 
