\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00050 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|           MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|   GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|             char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double| double|   double|   double|   long|   long|
|                 |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|    deg|      deg|      deg|       |       |
|             null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|   null|     null|     null|   null|   null|
 G326.6618+00.5207        1    0.00006  0.115    0.009  -0.00001     0  0.864    0.000  -63426.86  0.046  0.021  -32.7      1 326.66032 0.51692 236.26362 -54.15502       0       1 
 G326.6618+00.5207        2    0.00010  0.504    0.029   0.00002     2  0.336    0.000  -20779.27  0.056  0.048    4.9      1 326.65942 0.51807 236.26119 -54.15467       0       1 
 G326.6618+00.5207        3    0.00007  0.269    0.015  -0.00000     2  0.545    0.000  -21808.33  0.056  0.036  -14.6      1 326.66222 0.52027 236.26269 -54.15122       0       1 
 G326.6618+00.5207        4    0.00008  0.280    0.017   0.00001     2  0.507    0.000  -33519.03  0.038  0.042   90.0      1 326.66342 0.51981 236.26479 -54.15085       0       1 
 G326.6618+00.5207        5    0.00016  0.611    0.036   0.00003     2  0.238    0.000  -20297.75  0.049  0.037  -18.5      1 326.66194 0.52107 236.26147 -54.15076       0       1 
 G326.6618+00.5207        6    0.00011  0.418    0.022   0.00006     2  0.342    0.000  -23528.47  0.056  0.034  -30.6      1 326.66332 0.52108 236.26332 -54.14990       0       1 
 G326.6618+00.5207        7    0.00006  0.213    0.016   0.00000     1  0.841    0.000  -96397.21  0.041  0.056  -18.2      1 326.65945 0.52419 236.25485 -54.14981       0       1 
 G326.6618+00.5207        8    0.00034  1.246    0.069  -0.00004     2  0.061    0.000  -19217.60  0.034  0.046   44.2      1 326.66239 0.52307 236.25998 -54.14890       0       1 
 G326.6618+00.5207        9    0.00008  0.296    0.017  -0.00002     2  0.495    0.000  -33864.63  0.038  0.048   46.5      1 326.66213 0.52358 236.25910 -54.14865       0       1 
