\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00038 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|           MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|        BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|             char|    long|    double|double|  double|   double| long|double|  double|     double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|                 |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |           |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|             null|    null|      null|  null|    null|     null| null|  null|    null|       null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 G343.1261-00.0623        1    0.00003  0.501    0.025   0.00003     2  0.646    0.000   -31795.90  0.071  0.071  -90.0      1 343.12535 -0.06497 254.57274 -42.87115       0       1 
 G343.1261-00.0623        2    0.00004  0.263    0.014   0.00000     2  0.393    0.000   -35824.37  0.048  0.039   11.6      1 343.12643 -0.06441 254.57307 -42.86995       0       1 
 G343.1261-00.0623        3    0.00006  0.467    0.023   0.00001     2  0.334    0.000   -34400.99  0.059  0.041    2.0      1 343.12600 -0.06284 254.57102 -42.86931       0       1 
 G343.1261-00.0623        4    0.00002  0.106    0.007   0.00005     2  0.892    0.000   -32983.24  0.071  0.028  -20.8      1 343.12632 -0.06303 254.57149 -42.86918       0       1 
 G343.1261-00.0623        5    0.00002  0.339    0.014  -0.00006     2  0.949    0.000  -167021.45  0.071  0.071   89.9      1 343.12612 -0.06245 254.57070 -42.86898       0       1 
 G343.1261-00.0623        6    0.00002  0.222    0.010   0.00004     2  0.829    0.000   -33709.44  0.047  0.071   53.2      1 343.12677 -0.06319 254.57205 -42.86893       0       1 
 G343.1261-00.0623        7    0.00002  0.100    0.007   0.00001     2  0.979    0.000  -193139.26  0.040  0.039  -90.0      1 343.12632 -0.06248 254.57091 -42.86884       0       1 
 G343.1261-00.0623        8    0.00002  0.140    0.007  -0.00002     2  0.878    0.000   -40099.20  0.029  0.071  -38.8      1 343.12694 -0.06297 254.57196 -42.86865       0       1 
 G343.1261-00.0623        9    0.00002  0.131    0.008   0.00000     0  0.985    0.000  -198591.16  0.025  0.071  -36.7      1 343.12699 -0.06300 254.57203 -42.86864       0       1 
