\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00049 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|   GLAT|       RA|     DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|  double| double|   double|  double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |     deg|    deg|      deg|     deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|    null|   null|     null|    null|   null|   null|
 126348        1    0.38179  0.345    0.025   0.00004     2  0.537    0.000  -19934.52  0.050  0.050  -90.0      1 28.39627 0.07729 280.71896 -4.00047       0       1 
 126348        2    0.31242  0.351    0.023   0.00001     2  0.478    0.000  -38328.61  0.050  0.050   90.0      1 28.39651 0.07854 280.71795 -3.99968       0       1 
 126348        3    0.58755  1.616    0.059   0.00009     2  0.417    0.000  -13529.82  0.056  0.056   90.0      1 28.39651 0.07891 280.71762 -3.99952       0       1 
 126348        4    0.17983  0.139    0.014   0.00001     1  0.910    0.000  -61620.78  0.050  0.050   88.4      1 28.39654 0.07892 280.71762 -3.99948       0       1 
 126348        5    0.18523  0.151    0.014   0.00003     2  0.809    0.000  -26270.70  0.050  0.050  -90.0      1 28.39659 0.07954 280.71710 -3.99915       0       1 
 126348        6    0.17914  0.306    0.016   0.00007     1  0.530    0.000  -26682.01  0.056  0.050   -3.9      1 28.39704 0.07898 280.71780 -3.99901       0       1 
 126348        7    0.31842  0.278    0.021   0.00001     2  0.548    0.000  -22808.42  0.050  0.050  -90.0      1 28.39690 0.07936 280.71740 -3.99896       0       1 
 126348        8    0.20715  0.179    0.016   0.00006     1  0.695    0.000  -21413.95  0.050  0.050   90.0      1 28.39768 0.07826 280.71874 -3.99877       0       1 
 126348        9    0.82924  1.151    0.060  -0.00001     2  0.107    0.000  -16554.54  0.050  0.050   90.0      1 28.39811 0.07767 280.71946 -3.99866       0       1 
 126348       10    0.37142  0.377    0.026  -0.00001     2  0.343    0.000  -20149.92  0.050  0.050   90.0      1 28.39786 0.07826 280.71882 -3.99861       0       1 
 126348       11    2.31248  3.512    0.175  -0.00005     2  0.048    0.000  -12784.50  0.052  0.050   13.4      1 28.39717 0.07986 280.71708 -3.99850       0       1 
 126348       12    0.16214  0.100    0.015   0.00002     2  0.797    0.000  -28500.60  0.050  0.051   69.8      1 28.39726 0.07968 280.71728 -3.99849       0       1 
 126348       13    0.24665  0.229    0.017   0.00002     2  0.580    0.000  -28456.99  0.050  0.050  -90.0      1 28.39821 0.07789 280.71931 -3.99847       0       1 
 126348       14    0.62836  1.835    0.062   0.00027     2  0.676    0.000  -27036.25  0.056  0.056   90.0      1 28.39696 0.08030 280.71659 -3.99847       0       1 
 126348       15    0.13394  0.110    0.011   0.00006     2  0.953    0.000  -22940.24  0.050  0.056   44.2      1 28.39720 0.07986 280.71709 -3.99846       0       1 
 126348       16    0.76164  0.916    0.053   0.00002     2  0.174    0.000  -17233.31  0.050  0.050  -90.0      1 28.39740 0.07948 280.71752 -3.99846       0       1 
