\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00069 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|  double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |     deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|    null|    null|     null|     null|   null|   null|
  55288        1    0.44377  0.497    0.030  -0.00002     3  0.425    0.000  -26540.39  0.052  0.052   90.0      1 12.20605 -0.10119 273.16374 -18.40726       0       1 
  55288        2    0.71873  1.422    0.060   0.00003     2  0.189    0.000  -20934.24  0.058  0.052   29.7      1 12.20842 -0.10215 273.16582 -18.40563       0       1 
  55288        3    0.24841  0.397    0.020   0.00006     3  0.582    0.000  -25685.78  0.058  0.052  -20.7      1 12.20765 -0.10030 273.16372 -18.40542       0       1 
  55288        4    0.97426  1.665    0.077  -0.00004     2  0.174    0.000  -41159.99  0.052  0.055  -33.7      1 12.20860 -0.10194 273.16571 -18.40538       0       1 
  55288        5    0.27853  0.576    0.025  -0.00007     2  0.828    0.000  -40559.76  0.058  0.058   90.0      1 12.20864 -0.10198 273.16578 -18.40536       0       1 
  55288        6    0.70997  0.987    0.052   0.00000     2  0.189    0.000  -22617.02  0.052  0.052   90.0      1 12.20933 -0.10322 273.16727 -18.40535       0       1 
  55288        7    2.39306  3.377    0.179  -0.00010     2  0.212    0.000  -16129.57  0.058  0.052   32.0      1 12.20871 -0.10193 273.16576 -18.40527       0       1 
  55288        8    1.45795  1.816    0.102  -0.00010     3  0.453    0.000  -85535.42  0.052  0.056  -57.9      1 12.20864 -0.10176 273.16557 -18.40525       0       1 
  55288        9    0.62083  1.493    0.064   0.00014     2  0.558    0.000  -17295.51  0.058  0.058   90.0      1 12.20870 -0.10183 273.16567 -18.40524       0       1 
  55288       10    0.34100  0.737    0.030   0.00010     2  0.428    0.000  -23929.02  0.052  0.058   70.9      1 12.20837 -0.10117 273.16489 -18.40521       0       1 
  55288       11    0.29335  0.851    0.032   0.00008     2  0.648    0.000  -30149.49  0.058  0.058   90.0      1 12.20865 -0.10168 273.16550 -18.40520       0       1 
