\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00046 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 615590        1    0.16869  0.279    0.014   0.00004     3  0.671    0.000  -29374.14  0.057  0.057   47.2      1 274.06689 -1.14862 141.17676 -52.03617       0       1 
 615590        2    0.17664  0.058    0.015   0.00002     3  0.945    0.000  -18151.19  0.051  0.051   90.0      1 274.06630 -1.14912 141.17550 -52.03611       0       1 
 615590        3    0.18447  0.128    0.015   0.00004     2  0.881    0.000  -27640.95  0.051  0.051  -90.0      1 274.06630 -1.14908 141.17555 -52.03609       0       1 
 615590        4    0.45468  1.327    0.046   0.00045     2  0.400    0.000  -18758.71  0.057  0.057  -90.0      1 274.06626 -1.14912 141.17545 -52.03609       0       1 
 615590        5    0.12574  0.003    0.011  -0.00006     3  0.995    0.000  -20774.61  0.051  0.051   90.0      1 274.06639 -1.14898 141.17577 -52.03608       0       1 
 615590        6    0.12171  0.018    0.010   0.00000     2  1.027    0.000  -21475.28  0.051  0.051  -90.0      1 274.06642 -1.14885 141.17595 -52.03601       0       1 
 615590        7    0.14759  0.124    0.010  -0.00002     3  0.898    0.000  -23997.00  0.057  0.051  -13.9      1 274.06607 -1.14912 141.17524 -52.03596       0       1 
 615590        8    0.13881  0.314    0.016   0.00003     2  0.912    0.000  -76633.71  0.057  0.057   90.0      1 274.06598 -1.14912 141.17513 -52.03590       0       1 
 615590        9    0.17520  0.221    0.016  -0.00001     3  0.786    0.000  -21055.58  0.051  0.057  -22.0      1 274.06600 -1.14901 141.17527 -52.03583       0       1 
 615590       10    0.12740  0.069    0.010   0.00006     2  0.950    0.000  -21026.92  0.051  0.051   89.6      1 274.06573 -1.14900 141.17498 -52.03563       0       1 
