\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00050 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|   GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double| double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|    deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|   null|     null|     null|   null|   null|
 778802        1    0.18082  0.241    0.013   0.00001     2  0.484    0.000  -22531.60  0.048  0.048  -90.0      1 326.64113 0.60933 236.14136 -54.09359       0       1 
 778802        2    0.35575  1.273    0.044   0.00048     3  0.844    0.000  -13340.36  0.054  0.054   90.0      1 326.64081 0.61160 236.13857 -54.09199       0       1 
 778802        3    0.57921  1.254    0.059   0.00003     2  0.259    0.000  -15348.26  0.054  0.054   90.0      1 326.64037 0.61223 236.13731 -54.09175       0       1 
 778802        4    0.25192  0.357    0.022  -0.00004     3  0.341    0.000  -21288.59  0.054  0.048  -36.0      1 326.64149 0.61153 236.13957 -54.09163       0       1 
 778802        5    0.13515  0.177    0.011   0.00002     3  0.957    0.000  -62120.64  0.048  0.054    0.3      1 326.64045 0.61238 236.13727 -54.09159       0       1 
 778802        6    0.32394  0.496    0.026   0.00007     2  0.476    0.000  -24491.20  0.054  0.048  -45.0      1 326.64048 0.61244 236.13725 -54.09152       0       1 
 778802        7    1.24685  5.132    0.149   0.00036     2  0.270    0.001  -10395.76  0.054  0.054   90.0      1 326.64067 0.61236 236.13760 -54.09147       0       1 
 778802        8    0.07272  0.057    0.008   0.00000     2  0.974    0.000  -23444.82  0.048  0.054   13.5      1 326.64061 0.61245 236.13741 -54.09143       0       1 
 778802        9    0.27943  0.331    0.022   0.00002     2  0.604    0.000  -20317.55  0.048  0.054  -16.8      1 326.64066 0.61242 236.13752 -54.09143       0       1 
 778802       10    0.34454  0.451    0.026  -0.00001     2  0.234    0.000  -20649.85  0.048  0.048  -90.0      1 326.64024 0.61275 236.13661 -54.09142       0       1 
 778802       11    0.09391  0.130    0.010   0.00004     3  0.858    0.000  -24357.11  0.048  0.054   31.0      1 326.64056 0.61254 236.13725 -54.09140       0       1 
 778802       12    0.12211  0.099    0.011   0.00003     2  0.863    0.000  -21528.35  0.054  0.048  -34.0      1 326.64061 0.61252 236.13734 -54.09138       0       1 
 778802       13    0.17543  0.392    0.021   0.00009     2  0.585    0.000  -20542.81  0.054  0.054  -90.0      1 326.64060 0.61257 236.13727 -54.09134       0       1 
 778802       14    0.09858  0.158    0.011   0.00004     2  0.810    0.000  -22381.47  0.054  0.054   89.8      1 326.64066 0.61264 236.13729 -54.09125       0       1 
 778802       15    0.15200  0.181    0.014   0.00003     2  0.921    0.000  -16886.92  0.054  0.048    2.6      1 326.64075 0.61262 236.13743 -54.09122       0       1 
 778802       16    0.24047  1.139    0.062   0.00025     2  0.899    0.000  -18431.77  0.054  0.054   90.0      1 326.64073 0.61267 236.13735 -54.09118       0       1 
 778802       17    0.14268  0.194    0.012   0.00004     2  0.762    0.000  -21351.17  0.054  0.048  -32.7      1 326.64072 0.61273 236.13727 -54.09114       0       1 
 778802       18    0.12629  0.108    0.011   0.00004     2  0.915    0.000  -29531.25  0.048  0.048   90.0      1 326.64075 0.61275 236.13729 -54.09111       0       1 
