\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00119 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|      BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|   double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |         |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|     null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 865468        1    0.41086  0.580    0.041   0.00005     2  0.309    0.000 -11889.15  0.039  0.039  -90.0      1 345.00010 -0.22801 256.29787 -41.49008       0       1 
 865468        2    0.28865  0.297    0.027   0.00007     3  0.537    0.000 -12264.77  0.039  0.039   90.0      1 345.00033 -0.22660 256.29655 -41.48904       0       1 
 865468        3    1.00401  1.393    0.097  -0.00000     2  0.156    0.000 -10275.57  0.039  0.039   89.0      1 345.00048 -0.22661 256.29668 -41.48893       0       1 
 865468        4    0.27848  0.334    0.027  -0.00003     3  0.503    0.000 -12250.20  0.039  0.039  -90.0      1 345.00346 -0.22638 256.29885 -41.48641       0       1 
 865468        5    0.27943  0.359    0.028   0.00005     2  0.519    0.000 -12316.41  0.039  0.039  -90.0      1 345.00373 -0.22667 256.29937 -41.48637       0       1 
 865468        6    0.30863  0.416    0.030   0.00001     2  0.440    0.000 -12274.61  0.039  0.039   90.0      1 345.00230 -0.22458 256.29600 -41.48625       0       1 
 865468        7    0.16100  0.265    0.016   0.00010     3  0.670    0.000 -12569.66  0.044  0.039   14.1      1 345.00233 -0.22440 256.29582 -41.48612       0       1 
 865468        8    0.18909  0.419    0.020  -0.00000     2  0.884    0.000 -57354.71  0.044  0.044   90.0      1 345.00278 -0.22498 256.29681 -41.48611       0       1 
 865468        9    0.16689  0.342    0.022   0.00019     2  0.666    0.000 -12694.83  0.044  0.044  -90.0      1 345.00260 -0.22472 256.29638 -41.48609       0       1 
 865468       10    0.29151  0.307    0.029   0.00009     3  0.636    0.000 -11841.66  0.039  0.039  -90.0      1 345.00384 -0.22619 256.29895 -41.48600       0       1 
