\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00068 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|            MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|      BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|   GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|              char|    long|    double|double|  double|   double| long|double|  double|   double|double|double|double|  long|  double| double|   double|   double|   long|   long|
|                  |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |         |arcsec|arcsec|   deg|      |     deg|    deg|      deg|      deg|       |       |
|              null|    null|      null|  null|    null|     null| null|  null|    null|     null|  null|  null|  null|  null|    null|   null|     null|     null|   null|   null|
 G012.8909+00.4938C        1    0.22307  0.754    0.021   0.00018     1  0.648    0.000 -41064.37  0.058  0.058  -90.0      1 12.88853 0.48897 272.96431 -17.52517       0       1 
 G012.8909+00.4938C        2    0.17127  0.236    0.016  -0.00005     2  0.962    0.000 -83157.11  0.058  0.052  -15.8      1 12.88855 0.48894 272.96435 -17.52516       0       1 
 G012.8909+00.4938C        3    0.18713  0.072    0.017   0.00009     2  0.998    0.000 -18463.09  0.052  0.058   90.0      1 12.88862 0.48914 272.96421 -17.52501       0       1 
 G012.8909+00.4938C        4    2.99009  5.880    0.231  -0.00010     2  0.083    0.000 -14288.34  0.058  0.052   37.4      1 12.88862 0.48918 272.96417 -17.52499       0       1 
 G012.8909+00.4938C        5    0.13645  0.095    0.014   0.00001     2  0.986    0.000 -26802.16  0.052  0.058  -31.9      1 12.88873 0.48913 272.96427 -17.52491       0       1 
 G012.8909+00.4938C        6    0.25027  0.394    0.021   0.00004     2  0.708    0.000 -27568.27  0.052  0.058   64.7      1 12.88915 0.48843 272.96512 -17.52488       0       1 
 G012.8909+00.4938C        7    0.28628  0.404    0.024   0.00001     1  0.622    0.000 -35330.60  0.058  0.052   -6.0      1 12.88726 0.49206 272.96083 -17.52480       0       1 
 G012.8909+00.4938C        8    0.22582  0.229    0.019   0.00006     2  0.879    0.000 -23711.05  0.052  0.058  -46.6      1 12.88884 0.48920 272.96426 -17.52479       0       1 
 G012.8909+00.4938C        9    0.29757  0.758    0.028  -0.00007     2  0.957    0.000 -87690.86  0.058  0.058  -90.0      1 12.88887 0.48915 272.96432 -17.52478       0       1 
