\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00054 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|           MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|             char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|                 |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|             null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 G305.1940-00.0051        1    0.15123  0.252    0.017   0.00004     3  0.879    0.000  -20252.85  0.051  0.051  -90.0      1 305.19411 -0.00887 197.81229 -62.79356       0       1 
 G305.1940-00.0051        2    0.15156  0.176    0.016   0.00002     2  0.725    0.000  -25668.39  0.046  0.051  -10.1      1 305.19403 -0.00758 197.81189 -62.79229       0       1 
 G305.1940-00.0051        3    0.18684  0.199    0.014   0.00003     2  0.637    0.000  -17401.02  0.051  0.046   38.6      1 305.19357 -0.00721 197.81083 -62.79195       0       1 
 G305.1940-00.0051        4    0.43087  0.456    0.035  -0.00002     2  0.334    0.000  -15672.85  0.046  0.046   90.0      1 305.19372 -0.00709 197.81115 -62.79183       0       1 
 G305.1940-00.0051        5    0.18719  0.213    0.016  -0.00001     2  0.823    0.000  -78943.29  0.046  0.051   13.1      1 305.19393 -0.00696 197.81159 -62.79168       0       1 
 G305.1940-00.0051        6    0.13957  0.179    0.015   0.00007     2  0.582    0.000  -17729.31  0.046  0.050   19.6      1 305.19076 -0.00665 197.80462 -62.79161       0       1 
 G305.1940-00.0051        7    0.41111  0.381    0.032   0.00001     2  0.394    0.000  -15598.81  0.046  0.046  -89.9      1 305.19338 -0.00671 197.81034 -62.79147       0       1 
 G305.1940-00.0051        8    0.34818  0.337    0.028  -0.00001     2  0.451    0.000  -17836.04  0.046  0.046  -90.0      1 305.19347 -0.00668 197.81052 -62.79143       0       1 
 G305.1940-00.0051        9    0.17718  0.298    0.021   0.00005     2  0.617    0.000  -16466.51  0.051  0.046  -56.0      1 305.19323 -0.00631 197.80995 -62.79109       0       1 
 G305.1940-00.0051       10    0.67691  0.972    0.060  -0.00007     2  0.222    0.000  -12510.87  0.046  0.051   20.0      1 305.19135 -0.00581 197.80577 -62.79073       0       1 
 G305.1940-00.0051       11    0.15860  0.032    0.015   0.00001     2  0.995    0.000  -16312.31  0.046  0.046  -90.0      1 305.19302 -0.00568 197.80938 -62.79047       0       1 
 G305.1940-00.0051       12    0.42866  1.423    0.064   0.00050     2  0.934    0.001  -14379.39  0.051  0.051  -90.0      1 305.19320 -0.00563 197.80977 -62.79040       0       1 
 G305.1940-00.0051       13    0.49594  1.740    0.072   0.00079     2  0.957    0.002  -11104.31  0.051  0.051  -90.0      1 305.19326 -0.00563 197.80990 -62.79040       0       1 
 G305.1940-00.0051       14    6.39966 11.674    0.579  -0.00010     2  0.155    0.002   -8865.40  0.046  0.051  -12.7      1 305.19324 -0.00562 197.80984 -62.79040       0       1 
 G305.1940-00.0051       15    0.13824  0.031    0.016  -0.00009     3  0.983    0.000  -22502.63  0.046  0.046   90.0      1 305.19330 -0.00558 197.80997 -62.79035       0       1 
 G305.1940-00.0051       16    0.19201  0.433    0.018   0.00006     1  0.956    0.000  -64801.76  0.051  0.051   90.0      1 305.19327 -0.00554 197.80991 -62.79031       0       1 
 G305.1940-00.0051       17    0.20432  0.224    0.018   0.00026     3  0.957    0.000  -52868.24  0.046  0.051  -18.2      1 305.19323 -0.00553 197.80982 -62.79031       0       1 
 G305.1940-00.0051       18    0.18491  0.205    0.017  -0.00003     2  0.768    0.000  -30256.22  0.046  0.051   59.8      1 305.19180 -0.00534 197.80666 -62.79023       0       1 
