\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00116 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|           MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|   GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|             char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double| double|   double|   double|   long|   long|
|                 |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|    deg|      deg|      deg|       |       |
|             null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|   null|     null|     null|   null|   null|
 G345.5043+00.3480        1    0.63000  0.872    0.062   0.00001     2  0.222    0.000  -10957.78  0.041  0.039   40.9      1 345.50473 0.34346 256.10053 -40.74232       0       1 
 G345.5043+00.3480        2    0.45525  0.603    0.044   0.00007     3  0.284    0.000  -11598.88  0.039  0.039   90.0      1 345.50449 0.34413 256.09964 -40.74212       0       1 
 G345.5043+00.3480        3    0.58298  0.904    0.057  -0.00013     3  0.194    0.000  -11019.35  0.039  0.041    8.4      1 345.50235 0.34860 256.09323 -40.74110       0       1 
 G345.5043+00.3480        4    1.14421  1.917    0.114  -0.00010     2  0.092    0.000   -9339.27  0.042  0.039   19.6      1 345.50456 0.34588 256.09785 -40.74099       0       1 
 G345.5043+00.3480        5    0.24067  0.670    0.033   0.00005     2  0.760    0.000  -44586.14  0.044  0.044   90.0      1 345.50451 0.34604 256.09765 -40.74094       0       1 
 G345.5043+00.3480        6    0.21716  0.315    0.023  -0.00003     3  0.590    0.000  -12126.81  0.044  0.039   23.0      1 345.50477 0.34585 256.09806 -40.74085       0       1 
 G345.5043+00.3480        7    0.22522  0.578    0.030   0.00032     2  0.592    0.000  -12047.03  0.044  0.044   90.0      1 345.50391 0.34737 256.09577 -40.74061       0       1 
 G345.5043+00.3480        8    0.22985  0.537    0.029   0.00006     3  0.854    0.000  -34639.09  0.044  0.044   90.0      1 345.50398 0.34730 256.09591 -40.74060       0       1 
 G345.5043+00.3480        9    0.36716  0.987    0.045  -0.00001     3  0.206    0.000  -12986.36  0.044  0.044  -90.0      1 345.50456 0.34680 256.09690 -40.74043       0       1 
