\ ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00066 mJy
\ ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|      BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|   double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |         |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|     null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 586092        1    0.21075    0.3    0.019    -1e-05     3  0.417      0.0 -18678.68  0.044  0.044   90.0      1 261.64502  -2.0927 128.03244 -43.23209       0       1 
 586092        2    0.39104  0.487    0.033      -0.0     2  0.278      0.0 -16043.49  0.044  0.044  -90.0      1 261.64655 -2.09053 128.03608 -43.23204       0       1 
 586092        3    0.23379  0.336    0.025     2e-05     1    0.5      0.0 -16052.62  0.044  0.049   15.2      1 261.64618 -2.09068 128.03562 -43.23183       0       1 
 586092        4    0.80691  0.771    0.063      -0.0     2  0.291      0.0 -12844.14  0.044  0.044   90.0      1 261.64571 -2.09114 128.03473 -43.23172       0       1 
 586092        5    0.18459  0.146    0.014     1e-05     2    0.8      0.0 -23238.71  0.044  0.044  -90.0      1 261.64656 -2.08957 128.03715 -43.23147       0       1 
 586092        6    2.65235  3.853    0.224    -7e-05     2  0.108    0.001  -9117.43  0.044  0.046  -51.6      1 261.64481 -2.09002 128.03523 -43.23033       0       1 
 586092        7    0.18573  0.123    0.018     1e-05     2  0.877      0.0 -27448.74  0.044  0.044   90.0      1 261.64495 -2.08958 128.03583 -43.23018       0       1 
 586092        8    0.13422  0.162    0.012     4e-05     3  0.812      0.0 -16682.59  0.044  0.049   53.5      1 261.64474 -2.08983  128.0354 -43.23016       0       1 
 586092        9    0.35203  0.306    0.027     1e-05     1   0.58      0.0 -15821.94  0.044  0.044  -90.0      1 261.64491 -2.08958 128.03581 -43.23014       0       1 
 586092       10    0.16409  0.192    0.017     4e-05     2   0.69      0.0 -18651.94  0.044  0.049  -25.5      1 261.64698 -2.08672 128.04064 -43.23012       0       1 
