\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00049 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|   GLAT|       RA|     DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|  double| double|   double|  double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |     deg|    deg|      deg|     deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|    null|   null|     null|    null|   null|   null|
 126348        1    0.39683  0.347    0.022   0.00004     3  0.338    0.000  -28470.36  0.048  0.027   25.8      1 28.39627 0.07729 280.71896 -4.00047       0       1 
 126348        2    0.32439  0.387    0.021  -0.00000     0  0.741    0.000 -173483.59  0.053  0.033   17.0      1 28.39651 0.07854 280.71795 -3.99968       0       1 
 126348        3    0.18845  0.148    0.011   0.00004     3  0.666    0.000  -29233.42  0.051  0.025   20.6      1 28.39659 0.07954 280.71710 -3.99915       0       1 
 126348        4    0.33130  0.294    0.019   0.00004     3  0.341    0.000  -28861.21  0.044  0.030   12.3      1 28.39690 0.07936 280.71740 -3.99896       0       1 
 126348        5    0.20452  0.199    0.013   0.00005     3  0.601    0.000  -28920.06  0.051  0.030    2.3      1 28.39768 0.07826 280.71874 -3.99877       0       1 
 126348        6    0.84141  1.119    0.056  -0.00003     3  0.081    0.000  -26618.89  0.050  0.038   23.3      1 28.39811 0.07767 280.71946 -3.99866       0       1 
 126348        7    0.39285  0.429    0.024   0.00003     3  0.214    0.000  -29523.29  0.047  0.033   16.3      1 28.39786 0.07826 280.71882 -3.99861       0       1 
 126348        8    0.16554  0.180    0.011   0.00003     3  0.576    0.000  -29456.43  0.054  0.029   -9.3      1 28.39726 0.07968 280.71728 -3.99849       0       1 
 126348        9    0.25067  0.242    0.015   0.00005     3  0.438    0.000  -29083.26  0.045  0.032   17.9      1 28.39821 0.07789 280.71931 -3.99847       0       1 
 126348       10    0.78428  0.943    0.049   0.00001     3  0.073    0.000  -27825.76  0.048  0.034   18.1      1 28.39740 0.07948 280.71752 -3.99846       0       1 
 126348       11    0.18098    nan    0.012   0.00000     2  0.833    0.000  -49253.11  0.059  0.025    2.5      1 28.39737 0.07966 280.71735 -3.99841       0       1 
 126348       12    0.14089  0.218    0.013  -0.00008     3  0.763    0.000  -34041.68  0.077  0.037   16.1      1 28.39729 0.07985 280.71714 -3.99839       0       1 
 126348       13    0.14347  0.428    0.017   0.00023     3  0.757    0.000  -28218.98  0.078  0.076   -0.8      1 28.39742 0.07999 280.71708 -3.99821       0       1 
 126348       14    0.10332  0.120    0.008   0.00006     3  0.915    0.000  -31404.00  0.078  0.023  -15.4      1 28.39745 0.08006 280.71702 -3.99815       0       1 
 126348       15    0.16070  0.191    0.013   0.00004     3  0.724    0.000  -31857.17  0.066  0.038    5.4      1 28.39751 0.08003 280.71708 -3.99811       0       1 
 126348       16    0.28737  0.397    0.022   0.00002     3  0.382    0.000  -28800.11  0.052  0.045   41.5      1 28.39774 0.08045 280.71681 -3.99772       0       1 
 126348       17    0.64902  0.879    0.043  -0.00000     3  0.115    0.000  -27858.96  0.060  0.032   23.6      1 28.39844 0.07915 280.71829 -3.99769       0       1 
 126348       18    0.88804  1.381    0.065  -0.00001     3  0.041    0.000  -26669.73  0.053  0.041   25.7      1 28.39687 0.08220 280.71485 -3.99769       0       1 
 126348       19    0.16584  0.189    0.010   0.00007     3  0.749    0.000  -31621.86  0.078  0.024   35.6      1 28.39840 0.07954 280.71793 -3.99754       0       1 
 126348       20    0.36203  0.312    0.021   0.00002     3  0.338    0.000  -28605.52  0.047  0.028   14.2      1 28.39821 0.08000 280.71743 -3.99750       0       1 
 126348       21    0.14645  0.181    0.010   0.00005     3  0.620    0.000  -29775.17  0.064  0.029  -28.0      1 28.39797 0.08076 280.71664 -3.99737       0       1 
 126348       22    0.21082  0.239    0.014   0.00000     2  0.885    0.000 -187085.81  0.050  0.036    1.8      1 28.39909 0.08060 280.71730 -3.99645       0       1 
 126348       23    1.43078  2.656    0.111  -0.00004     3  0.021    0.000  -24218.50  0.058  0.045   20.6      1 28.39883 0.08132 280.71653 -3.99635       0       1 
 126348       24    0.23227  0.241    0.014   0.00004     3  0.404    0.000  -29545.61  0.043  0.035    9.3      1 28.40113 0.07958 280.71914 -3.99510       0       1 
 126348       25    0.27114  0.337    0.018  -0.00001     3  0.297    0.000  -29495.35  0.057  0.032   -4.5      1 28.40112 0.07968 280.71905 -3.99506       0       1 
 126348       26    0.25566  0.268    0.016   0.00002     3  0.398    0.000  -29344.56  0.051  0.031   19.2      1 28.40110 0.08018 280.71859 -3.99485       0       1 
 126348       27    0.54691  1.573    0.057   0.00000     3  0.123    0.000 -145975.18  0.077  0.058   -1.2      1 28.39650 0.07889 280.71763 -3.99953       1       3 
 126348       28    0.62710  1.549    0.054   0.00000     3  0.123    0.000 -145975.18  0.073  0.051   25.5      1 28.39651 0.07891 280.71762 -3.99952       1       3 
 126348       29    0.18030  0.163    0.011   0.00000     3  0.123    0.000 -145975.18  0.051  0.028    9.8      1 28.39654 0.07892 280.71762 -3.99948       1       3 
 126348       30    0.20109  0.247    0.014   0.00000     3  0.056    0.000 -152002.16  0.054  0.032    0.0      1 28.39715 0.07985 280.71708 -3.99851       1       4 
 126348       31    0.19947  0.721    0.024   0.00000     3  0.056    0.000 -152002.16  0.078  0.070   73.4      1 28.39716 0.07984 280.71709 -3.99851       1       4 
 126348       32    2.44340  3.919    0.177   0.00000     3  0.056    0.000 -152002.16  0.054  0.041   11.9      1 28.39717 0.07986 280.71708 -3.99850       1       4 
 126348       33    0.16255  0.358    0.020   0.00000     3  0.056    0.000 -152002.16  0.078  0.078   84.8      1 28.39720 0.07986 280.71709 -3.99846       1       4 
 126348       34    0.30068  1.078    0.035   0.00000     3  0.424    0.000  -74210.62  0.078  0.077   90.0      1 28.39721 0.08031 280.71670 -3.99825       1       2 
 126348       35    0.19277  0.304    0.018   0.00000     3  0.424    0.000  -74210.62  0.078  0.045  -10.1      1 28.39722 0.08033 280.71668 -3.99823       1       2 
 126348       36    0.12286  0.126    0.007   0.00000     3  0.234    0.000 -141149.38  0.078  0.020  -21.4      1 28.39737 0.08009 280.71696 -3.99820       1       4 
 126348       37    0.27161  1.330    0.036   0.00000     3  0.234    0.000 -141149.38  0.078  0.078  -89.3      1 28.39740 0.08005 280.71701 -3.99820       1       4 
 126348       38    0.91415  3.079    0.096   0.00000     3  0.234    0.000 -141149.38  0.078  0.061   13.2      1 28.39739 0.08008 280.71698 -3.99819       1       4 
 126348       39    0.24811  0.642    0.027   0.00000     3  0.234    0.000 -141149.38  0.078  0.039   -3.0      1 28.39741 0.08009 280.71698 -3.99818       1       4 
 126348       40    0.12101  0.304    0.017   0.00000     3  0.079    0.000 -132693.21  0.078  0.045  -83.7      1 28.39732 0.08043 280.71664 -3.99809       1       5 
 126348       41    0.13463  0.463    0.018   0.00000     3  0.079    0.000 -132693.21  0.078  0.040  -29.9      1 28.39732 0.08045 280.71662 -3.99808       1       5 
 126348       42    0.37488  0.984    0.044   0.00000     3  0.079    0.000 -132693.21  0.078  0.062   35.1      1 28.39734 0.08042 280.71665 -3.99808       1       5 
 126348       43    2.07978  3.976    0.163   0.00000     3  0.079    0.000 -132693.21  0.057  0.047   14.4      1 28.39735 0.08045 280.71664 -3.99807       1       5 
 126348       44    0.24461  1.402    0.038   0.00000     3  0.079    0.000 -132693.21  0.078  0.069  -36.6      1 28.39737 0.08043 280.71666 -3.99805       1       5 
