\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00069 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|  double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |     deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|    null|    null|     null|     null|   null|   null|
  55288        1    0.45182  0.518    0.027   0.00006     3  0.313    0.000  -30570.61  0.052  0.034   33.1      1 12.20605 -0.10119 273.16374 -18.40726       0       1 
  55288        2    0.25070  0.435    0.021   0.00011     3  0.545    0.000  -28672.43  0.081  0.046  -21.2      1 12.20765 -0.10030 273.16372 -18.40542       0       1 
  55288        3    0.95195  1.551    0.073   0.00002     3  0.110    0.000  -28497.59  0.054  0.048   55.4      1 12.20860 -0.10194 273.16571 -18.40538       0       1 
  55288        4    0.72228  1.025    0.049   0.00003     3  0.132    0.000  -26598.33  0.055  0.040   33.3      1 12.20933 -0.10322 273.16727 -18.40535       0       1 
  55288        5    1.47762  1.821    0.093  -0.00006     1  0.476    0.000 -195491.02  0.057  0.034   33.4      1 12.20864 -0.10176 273.16557 -18.40525       0       1 
  55288        6    0.32483  0.740    0.028   0.00006     3  0.425    0.000  -27539.96  0.081  0.047  -21.6      1 12.20837 -0.10117 273.16489 -18.40521       0       1 
  55288        7    0.26334  0.203    0.014  -0.00002     3  0.719    0.000  -27269.54  0.046  0.028   43.2      1 12.20894 -0.10219 273.16612 -18.40520       0       1 
  55288        8    0.24633  0.421    0.021   0.00007     3  0.701    0.000  -26582.70  0.081  0.044   49.5      1 12.20898 -0.10222 273.16617 -18.40518       0       1 
  55288        9    0.48982  0.938    0.042   0.00006     3  0.335    0.000  -29545.54  0.065  0.057  -26.9      1 12.20852 -0.10124 273.16503 -18.40511       0       1 
  55288       10    0.26465  0.333    0.017   0.00002     3  0.737    0.000  -26940.45  0.081  0.028   47.6      1 12.20883 -0.10164 273.16556 -18.40503       0       1 
  55288       11    0.24050  0.405    0.025   0.00008     3  0.703    0.000  -29546.35  0.078  0.044   -8.2      1 12.20880 -0.10157 273.16548 -18.40502       0       1 
  55288       12    0.19234  0.633    0.026   0.00018     3  0.675    0.000  -28145.06  0.081  0.081  -80.8      1 12.20902 -0.10191 273.16590 -18.40499       0       1 
  55288       13    0.28445  0.604    0.029   0.00013     3  0.652    0.000  -27880.79  0.081  0.059  -34.7      1 12.20873 -0.10134 273.16522 -18.40497       0       1 
  55288       14    0.15903  0.071    0.006   0.00002     3  0.911    0.000  -26967.00  0.028  0.021   26.7      1 12.20916 -0.10197 273.16603 -18.40490       0       1 
  55288       15    0.23106  0.414    0.017   0.00006     3  0.602    0.000  -27384.14  0.081  0.026   39.8      1 12.20921 -0.10193 273.16602 -18.40483       0       1 
  55288       16    0.24496  0.498    0.024   0.00008     3  0.588    0.000  -28733.73  0.081  0.050   82.5      1 12.20963 -0.10251 273.16676 -18.40475       0       1 
  55288       17    0.37356  0.485    0.024   0.00008     3  0.357    0.000  -27829.57  0.063  0.033   17.1      1 12.20972 -0.10259 273.16688 -18.40470       0       1 
  55288       18    0.33952  0.418    0.023   0.00010     2  0.720    0.000  -49037.55  0.059  0.038   -0.8      1 12.20924 -0.10134 273.16548 -18.40453       0       1 
  55288       19    0.36031  0.441    0.025   0.00002     0  0.892    0.000 -169793.50  0.060  0.035   21.9      1 12.20922 -0.10127 273.16540 -18.40451       0       1 
  55288       20    0.32312  0.797    0.030   0.00012     3  0.464    0.000  -27394.89  0.081  0.054  -16.3      1 12.20954 -0.10179 273.16605 -18.40448       0       1 
  55288       21    0.34894  0.543    0.025   0.00002     3  0.414    0.000  -27683.62  0.054  0.053   39.7      1 12.20932 -0.10123 273.16542 -18.40440       0       1 
  55288       22    0.76588  0.870    0.044   0.00004     3  0.192    0.000  -27319.68  0.053  0.032   36.5      1 12.20946 -0.10091 273.16520 -18.40413       0       1 
  55288       23    0.22313  0.369    0.021   0.00005     3  0.710    0.000  -27789.65  0.074  0.061  -21.8      1 12.21012 -0.10196 273.16651 -18.40405       0       1 
  55288       24    0.29589  0.247    0.018   0.00004     3  0.652    0.000  -26685.50  0.056  0.027    6.6      1 12.21041 -0.10184 273.16653 -18.40374       0       1 
  55288       25    0.73362  1.494    0.060   0.00000     3  0.177    0.000  -55234.70  0.081  0.040   34.0      1 12.20842 -0.10215 273.16582 -18.40563       1       2 
  55288       26    0.21290  0.233    0.015   0.00000     3  0.177    0.000  -55234.70  0.081  0.024    9.4      1 12.20843 -0.10216 273.16584 -18.40563       1       2 
  55288       27    0.31345  1.043    0.035   0.00000     3  0.279    0.000 -308960.43  0.081  0.081  -36.5      1 12.20864 -0.10198 273.16578 -18.40536       1       6 
  55288       28    0.53112  2.055    0.071   0.00000     3  0.279    0.000 -308960.43  0.081  0.070  -53.6      1 12.20869 -0.10197 273.16579 -18.40532       1       6 
  55288       29    0.23886  0.173    0.013   0.00000     3  0.279    0.000 -308960.43  0.036  0.032  -32.3      1 12.20869 -0.10193 273.16575 -18.40530       1       6 
  55288       30    0.75869  2.495    0.073   0.00000     3  0.279    0.000 -308960.43  0.081  0.065   66.1      1 12.20871 -0.10196 273.16579 -18.40529       1       6 
  55288       31    2.43629  3.217    0.157   0.00000     3  0.279    0.000 -308960.43  0.058  0.035   35.1      1 12.20871 -0.10193 273.16576 -18.40527       1       6 
  55288       32    0.40424  1.217    0.062   0.00000     3  0.279    0.000 -308960.43  0.081  0.081    0.0      1 12.20870 -0.10191 273.16574 -18.40527       1       6 
  55288       33    0.18806  0.233    0.017   0.00000     3  0.582    0.000  -96393.51  0.081  0.040  -39.0      1 12.20880 -0.10203 273.16590 -18.40524       1       3 
  55288       34    0.33309  0.843    0.037   0.00000     3  0.582    0.000  -96393.51  0.081  0.057   44.0      1 12.20882 -0.10204 273.16592 -18.40523       1       3 
  55288       35    0.22792  0.566    0.021   0.00000     3  0.582    0.000  -96393.51  0.081  0.049   35.4      1 12.20882 -0.10202 273.16590 -18.40522       1       3 
  55288       36    0.68638  1.612    0.062   0.00000     3  0.414    0.000 -180714.53  0.081  0.045   58.3      1 12.20870 -0.10183 273.16567 -18.40524       1       4 
  55288       37    0.72309  3.111    0.091   0.00000     3  0.414    0.000 -180714.53  0.081  0.072  -80.0      1 12.20870 -0.10182 273.16565 -18.40523       1       4 
  55288       38    0.20863  0.609    0.030   0.00000     3  0.414    0.000 -180714.53  0.081  0.055    0.0      1 12.20869 -0.10179 273.16562 -18.40522       1       4 
  55288       39    0.31144  1.595    0.051   0.00000     3  0.414    0.000 -180714.53  0.081  0.081  -72.1      1 12.20873 -0.10181 273.16566 -18.40520       1       4 
  55288       40    1.29772  2.655    0.104   0.00000     3  0.643    0.000 -586179.41  0.073  0.045   12.7      1 12.20867 -0.10171 273.16554 -18.40521       1       7 
  55288       41    0.42590  1.874    0.055   0.00000     3  0.643    0.000 -586179.41  0.081  0.070   23.6      1 12.20865 -0.10168 273.16550 -18.40520       1       7 
  55288       42    0.48522  2.017    0.052   0.00000     3  0.643    0.000 -586179.41  0.081  0.065  -49.4      1 12.20869 -0.10170 273.16554 -18.40518       1       7 
  55288       43    0.32887  1.342    0.038   0.00000     3  0.643    0.000 -586179.41  0.081  0.073   39.5      1 12.20868 -0.10168 273.16551 -18.40518       1       7 
  55288       44    0.64936  3.344    0.101   0.00000     3  0.643    0.000 -586179.41  0.081  0.081   89.9      1 12.20870 -0.10165 273.16549 -18.40515       1       7 
  55288       45    0.86370  4.640    0.101   0.00000     3  0.643    0.000 -586179.41  0.081  0.081   89.8      1 12.20870 -0.10161 273.16546 -18.40513       1       7 
  55288       46    0.38925  1.938    0.048   0.00000     3  0.643    0.000 -586179.41  0.081  0.078  -67.9      1 12.20869 -0.10158 273.16543 -18.40512       1       7 
  55288       47    0.27143  0.802    0.033   0.00000     3  0.652    0.000  -73948.75  0.081  0.063   41.7      1 12.20884 -0.10197 273.16587 -18.40518       1       2 
  55288       48    0.27023  0.646    0.031   0.00000     3  0.652    0.000  -73948.75  0.081  0.058   51.1      1 12.20886 -0.10196 273.16586 -18.40516       1       2 
  55288       49    0.33140  2.482    0.081   0.00000     3  0.995    0.144  -32518.08  0.081  0.081   89.9      1 12.20927 -0.10221 273.16630 -18.40492       1       5 
  55288       50    0.40258  1.075    0.038   0.00000     3  0.995    0.144  -32518.08  0.081  0.049  -11.4      1 12.20931 -0.10226 273.16637 -18.40490       1       5 
  55288       51    0.16763 -0.018    0.035   0.00000     3  0.995    0.144  -32518.08  0.081  0.042  -90.0      1 12.20929 -0.10221 273.16632 -18.40490       1       5 
  55288       52    0.14274  0.390    0.020   0.00000     3  0.995    0.144  -32518.08  0.081  0.063   12.7      1 12.20931 -0.10222 273.16633 -18.40489       1       5 
  55288       53    0.34051  0.747    0.032   0.00000     3  0.995    0.144  -32518.08  0.081  0.046   13.4      1 12.20932 -0.10225 273.16636 -18.40489       1       5 
  55288       54    0.28283  1.092    0.034   0.00000     3  0.793    0.000 -243960.16  0.081  0.081   57.0      1 12.20924 -0.10181 273.16591 -18.40475       1       4 
  55288       55    0.30902  0.980    0.032   0.00000     3  0.793    0.000 -243960.16  0.081  0.066   50.8      1 12.20926 -0.10181 273.16593 -18.40474       1       4 
  55288       56    0.27546  0.799    0.028   0.00000     3  0.793    0.000 -243960.16  0.081  0.062   58.8      1 12.20928 -0.10182 273.16594 -18.40473       1       4 
  55288       57    0.23674  0.532    0.025   0.00000     3  0.793    0.000 -243960.16  0.081  0.078  -88.6      1 12.20932 -0.10180 273.16595 -18.40468       1       4 
  55288       58    0.22585  0.476    0.019   0.00000     3  0.366    0.000 -210364.61  0.081  0.029   20.7      1 12.20940 -0.10190 273.16608 -18.40466       1       4 
  55288       59    1.15742  3.231    0.111   0.00000     3  0.366    0.000 -210364.61  0.081  0.053  -14.2      1 12.20941 -0.10188 273.16606 -18.40464       1       4 
  55288       60    0.49190  2.032    0.071   0.00000     3  0.366    0.000 -210364.61  0.081  0.081   16.4      1 12.20939 -0.10184 273.16602 -18.40464       1       4 
  55288       61    0.28111  0.677    0.036   0.00000     3  0.366    0.000 -210364.61  0.081  0.081   75.1      1 12.20942 -0.10184 273.16603 -18.40461       1       4 
  55288       62    0.28929  0.195    0.016   0.00000     3  0.238    0.000  -70375.31  0.047  0.024   26.5      1 12.20992 -0.10281 273.16718 -18.40464       1       2 
  55288       63    0.93164  1.055    0.055   0.00000     3  0.238    0.000  -70375.31  0.049  0.034   21.7      1 12.20994 -0.10281 273.16720 -18.40462       1       2 
  55288       64    0.40895  0.921    0.039   0.00000     3  0.658    0.000  -88579.49  0.081  0.047    0.0      1 12.20935 -0.10170 273.16587 -18.40460       1       2 
  55288       65    0.23669  0.754    0.027   0.00000     3  0.658    0.000  -88579.49  0.081  0.075    3.3      1 12.20937 -0.10168 273.16587 -18.40457       1       2 
