\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00053 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 881427        1    0.22964  0.255    0.015   0.00005     3  0.350    0.000  -27336.60  0.048  0.033   20.9      1 348.72661 -1.04452 260.03466 -38.95700       0       1 
 881427        2    0.13152  0.321    0.013   0.00014     3  0.623    0.000  -27716.04  0.077  0.053  -67.5      1 348.72509 -1.03759 260.02622 -38.95428       0       1 
 881427        3    0.12037  0.641    0.028   0.00013     0  0.995    0.000  -54400.81  0.077  0.077  -90.0      1 348.72517 -1.03760 260.02630 -38.95423       0       1 
 881427        4    0.41202  0.443    0.026  -0.00000     2  0.354    0.000  -52141.34  0.048  0.032   16.4      1 348.72673 -1.03955 260.02950 -38.95406       0       1 
 881427        5    0.31139  0.656    0.030   0.00001     3  0.317    0.000  -28249.16  0.070  0.050   -0.0      1 348.72529 -1.03731 260.02609 -38.95396       0       1 
 881427        6    0.12989  0.084    0.007   0.00003     3  0.834    0.000  -28685.71  0.034  0.027   19.4      1 348.72554 -1.03763 260.02660 -38.95394       0       1 
 881427        7    0.10574  0.211    0.013   0.00011     3  0.941    0.000  -25901.52  0.077  0.058   87.0      1 348.72588 -1.03788 260.02711 -38.95380       0       1 
 881427        8    0.08242  0.206    0.012   0.00010     3  0.870    0.000  -27389.65  0.077  0.065  -83.9      1 348.72775 -1.04014 260.03088 -38.95356       0       1 
 881427        9    0.41915  0.478    0.027  -0.00002     0  0.705    0.000 -150757.08  0.045  0.037  -10.3      1 348.72774 -1.04005 260.03077 -38.95351       0       1 
 881427       10    0.94280  1.858    0.082  -0.00001     3  0.052    0.000  -24033.18  0.059  0.047   -0.0      1 348.72578 -1.03699 260.02611 -38.95337       0       1 
