\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00116 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|           MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|   GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|             char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double| double|   double|   double|   long|   long|
|                 |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|    deg|      deg|      deg|       |       |
|             null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|   null|     null|     null|   null|   null|
 G345.5043+00.3480        1    0.63987  0.897    0.059  -0.00002     3  0.191    0.000  -14320.51  0.042  0.032   41.0      1 345.50473 0.34346 256.10053 -40.74232       0       1 
 G345.5043+00.3480        2    0.47847  0.692    0.044   0.00001     3  0.243    0.000  -17239.31  0.041  0.034   34.1      1 345.50449 0.34413 256.09964 -40.74212       0       1 
 G345.5043+00.3480        3    0.59401  0.952    0.057   0.00005     3  0.192    0.000  -14664.47  0.042  0.036  -79.0      1 345.50235 0.34860 256.09323 -40.74110       0       1 
 G345.5043+00.3480        4    1.14603  1.900    0.112  -0.00021     3  0.090    0.000  -11770.63  0.041  0.037   21.0      1 345.50456 0.34588 256.09785 -40.74099       0       1 
 G345.5043+00.3480        5    0.18031  0.439    0.024   0.00015     3  0.577    0.000  -15742.78  0.061  0.032   33.3      1 345.50451 0.34604 256.09765 -40.74094       0       1 
 G345.5043+00.3480        6    0.22955  0.475    0.026  -0.00003     3  0.558    0.000  -16008.17  0.061  0.039   30.9      1 345.50477 0.34585 256.09806 -40.74085       0       1 
 G345.5043+00.3480        7    0.24535  0.837    0.040   0.00025     3  0.465    0.000  -16033.85  0.061  0.054   81.2      1 345.50391 0.34737 256.09577 -40.74061       0       1 
 G345.5043+00.3480        8    0.23853  0.771    0.033   0.00015     0  0.783    0.000  -35393.19  0.061  0.041   48.9      1 345.50398 0.34730 256.09591 -40.74060       0       1 
 G345.5043+00.3480        9    0.33676  0.849    0.047  -0.00006     3  0.344    0.000  -15323.23  0.056  0.053    0.0      1 345.50456 0.34680 256.09690 -40.74043       0       1 
 G345.5043+00.3480       10    0.31135  0.704    0.040   0.00017     3  0.516    0.000  -15398.64  0.057  0.049   35.3      1 345.50403 0.34763 256.09559 -40.74035       0       1 
 G345.5043+00.3480       11    0.25169  0.762    0.033   0.00001     3  0.897    0.000 -111056.19  0.061  0.038   47.8      1 345.50455 0.34698 256.09669 -40.74034       0       1 
 G345.5043+00.3480       12    0.27632  0.610    0.030   0.00008     3  0.479    0.000  -15363.64  0.061  0.033   40.5      1 345.50439 0.34721 256.09632 -40.74032       0       1 
 G345.5043+00.3480       13    0.29836  0.620    0.037  -0.00006     1  0.892    0.000  -56939.90  0.059  0.038   49.3      1 345.50429 0.34751 256.09594 -40.74022       0       1 
 G345.5043+00.3480       14    0.26401  0.769    0.035   0.00006     3  0.444    0.000  -15113.06  0.061  0.036   59.0      1 345.50444 0.34732 256.09626 -40.74022       0       1 
 G345.5043+00.3480       15    0.33015  0.801    0.071   0.00035     3  0.774    0.000  -14506.08  0.061  0.061  -90.0      1 345.50427 0.34755 256.09587 -40.74021       0       1 
 G345.5043+00.3480       16    0.29926  0.702    0.038   0.00021     3  0.504    0.000  -14940.89  0.061  0.032   52.8      1 345.50412 0.34777 256.09552 -40.74020       0       1 
 G345.5043+00.3480       17    0.32588  0.516    0.036   0.00045     3  0.634    0.000  -14967.29  0.054  0.031   69.6      1 345.50415 0.34773 256.09559 -40.74019       0       1 
 G345.5043+00.3480       18    0.28347  0.503    0.037   0.00007     3  0.702    0.000  -14391.51  0.061  0.037    4.8      1 345.50418 0.34777 256.09557 -40.74015       0       1 
 G345.5043+00.3480       19    0.28860  0.709    0.031   0.00013     3  0.509    0.000  -15175.07  0.061  0.035   54.9      1 345.50391 0.34812 256.09499 -40.74015       0       1 
 G345.5043+00.3480       20    0.25896  0.737    0.047   0.00010     1  0.949    0.000  -57558.19  0.061  0.061  -90.0      1 345.50447 0.34741 256.09618 -40.74014       0       1 
 G345.5043+00.3480       21    0.29535  0.427    0.031   0.00014     3  0.514    0.000  -15291.09  0.048  0.032   36.6      1 345.50368 0.34845 256.09445 -40.74013       0       1 
 G345.5043+00.3480       22    0.26889  0.571    0.027   0.00003     3  0.445    0.000  -15702.00  0.061  0.026   49.8      1 345.50453 0.34736 256.09627 -40.74012       0       1 
 G345.5043+00.3480       23    0.96545  1.164    0.079   0.00005     3  0.147    0.000  -14745.03  0.038  0.027   53.7      1 345.50441 0.34754 256.09599 -40.74010       0       1 
 G345.5043+00.3480       24    0.28969  0.544    0.037   0.00015     3  0.669    0.000  -19115.37  0.056  0.043   -4.0      1 345.50407 0.34800 256.09524 -40.74009       0       1 
 G345.5043+00.3480       25    0.34265  0.437    0.032   0.00026     3  0.555    0.000  -15085.86  0.041  0.030  -71.7      1 345.50457 0.34741 256.09626 -40.74006       0       1 
 G345.5043+00.3480       26    0.25385  0.806    0.040   0.00054     3  0.627    0.000  -14974.82  0.061  0.042    9.4      1 345.50410 0.34802 256.09524 -40.74006       0       1 
 G345.5043+00.3480       27    0.31517  0.744    0.045   0.00001     3  0.866    0.000  -61490.71  0.061  0.036   43.0      1 345.50409 0.34808 256.09517 -40.74004       0       1 
 G345.5043+00.3480       28    0.28006  0.378    0.028   0.00009     3  0.766    0.000  -16449.03  0.061  0.025  -15.1      1 345.50429 0.34783 256.09560 -40.74002       0       1 
 G345.5043+00.3480       29    0.22746  0.378    0.026   0.00005     3  0.806    0.000  -14696.71  0.061  0.037   57.4      1 345.50428 0.34790 256.09551 -40.73999       0       1 
 G345.5043+00.3480       30    0.28355  0.716    0.041   0.00002     0  0.912    0.000  -71222.23  0.061  0.042   33.0      1 345.50473 0.34741 256.09639 -40.73993       0       1 
 G345.5043+00.3480       31    0.26211  0.469    0.030   0.00013     3  0.646    0.000  -15175.10  0.061  0.032  -71.5      1 345.50455 0.34774 256.09590 -40.73987       0       1 
 G345.5043+00.3480       32    0.25279  0.684    0.041   0.00038     3  0.605    0.000  -15755.32  0.061  0.055   75.4      1 345.50422 0.34818 256.09517 -40.73987       0       1 
 G345.5043+00.3480       33    0.28487  0.412    0.026   0.00010     3  0.723    0.000  -18286.90  0.050  0.026  -41.6      1 345.50455 0.34779 256.09585 -40.73985       0       1 
 G345.5043+00.3480       34    0.21601  0.566    0.025   0.00040     3  0.690    0.000  -14479.30  0.061  0.034   44.1      1 345.50482 0.34751 256.09636 -40.73980       0       1 
 G345.5043+00.3480       35    0.26009  0.486    0.031   0.00019     3  0.703    0.000  -16769.80  0.061  0.035   30.4      1 345.50397 0.34864 256.09449 -40.73979       0       1 
 G345.5043+00.3480       36    0.44245  0.954    0.053   0.00083     3  0.823    0.000  -13425.48  0.061  0.042  -51.9      1 345.50449 0.34796 256.09561 -40.73979       0       1 
 G345.5043+00.3480       37    0.29061  0.806    0.036   0.00031     3  0.575    0.000  -15181.23  0.061  0.037   51.5      1 345.50477 0.34763 256.09618 -40.73977       0       1 
 G345.5043+00.3480       38    0.31085  0.820    0.041   0.00025     3  0.574    0.000  -14557.47  0.061  0.029   63.9      1 345.50466 0.34779 256.09593 -40.73976       0       1 
 G345.5043+00.3480       39    0.55423  0.956    0.060   0.00009     3  0.299    0.000  -14786.72  0.047  0.036   -8.8      1 345.50397 0.34871 256.09442 -40.73975       0       1 
 G345.5043+00.3480       40    0.23002  0.557    0.029   0.00055     2  0.834    0.000  -17495.09  0.061  0.024   49.6      1 345.50429 0.34837 256.09502 -40.73970       0       1 
